#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0834700.1-p1   -           3700 224at5820            -           1959         0 3326.0 345.8   1  12  5.9e-169  3.8e-165  550.1  30.7     1   258     1   258     1   267 0.99 | transcript=PVP01_0834700.1 | gene=PVP01_0834700 | organism=Plasmodium_vivax_P01 | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=PvP01_08_v2:1458499-1469601(+) | protein_length=3700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834700.1-p1   -           3700 224at5820            -           1959         0 3326.0 345.8   2  12  5.9e-120  3.8e-116  387.7  34.4   255   509   616   883   612   891 0.95 | transcript=PVP01_0834700.1 | gene=PVP01_0834700 | organism=Plasmodium_vivax_P01 | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=PvP01_08_v2:1458499-1469601(+) | protein_length=3700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834700.1-p1   -           3700 224at5820            -           1959         0 3326.0 345.8   3  12   1.8e-52   1.2e-48  163.9   9.5   509   610  1069  1171  1060  1174 0.94 | transcript=PVP01_0834700.1 | gene=PVP01_0834700 | organism=Plasmodium_vivax_P01 | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=PvP01_08_v2:1458499-1469601(+) | protein_length=3700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834700.1-p1   -           3700 224at5820            -           1959         0 3326.0 345.8   4  12   3.4e-84   2.2e-80  269.1  23.6   613   769  1240  1396  1229  1400 0.97 | transcript=PVP01_0834700.1 | gene=PVP01_0834700 | organism=Plasmodium_vivax_P01 | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=PvP01_08_v2:1458499-1469601(+) | protein_length=3700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834700.1-p1   -           3700 224at5820            -           1959         0 3326.0 345.8   5  12   4.2e-58   2.7e-54  182.6   4.4   768   868  1449  1549  1441  1552 0.97 | transcript=PVP01_0834700.1 | gene=PVP01_0834700 | organism=Plasmodium_vivax_P01 | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=PvP01_08_v2:1458499-1469601(+) | protein_length=3700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834700.1-p1   -           3700 224at5820            -           1959         0 3326.0 345.8   6  12  3.2e-149  2.1e-145  484.7  49.4   866  1172  1626  1957  1618  1967 0.92 | transcript=PVP01_0834700.1 | gene=PVP01_0834700 | organism=Plasmodium_vivax_P01 | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=PvP01_08_v2:1458499-1469601(+) | protein_length=3700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834700.1-p1   -           3700 224at5820            -           1959         0 3326.0 345.8   7  12   3.2e-29   2.1e-25   86.8   0.7  1172  1242  2471  2541  2458  2560 0.83 | transcript=PVP01_0834700.1 | gene=PVP01_0834700 | organism=Plasmodium_vivax_P01 | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=PvP01_08_v2:1458499-1469601(+) | protein_length=3700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834700.1-p1   -           3700 224at5820            -           1959         0 3326.0 345.8   8  12  1.1e-135  6.9e-132  439.9  40.1  1231  1478  2675  2933  2659  2940 0.93 | transcript=PVP01_0834700.1 | gene=PVP01_0834700 | organism=Plasmodium_vivax_P01 | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=PvP01_08_v2:1458499-1469601(+) | protein_length=3700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834700.1-p1   -           3700 224at5820            -           1959         0 3326.0 345.8   9  12  3.8e-174  2.5e-170  567.4  47.9  1476  1749  2984  3257  2982  3266 0.98 | transcript=PVP01_0834700.1 | gene=PVP01_0834700 | organism=Plasmodium_vivax_P01 | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=PvP01_08_v2:1458499-1469601(+) | protein_length=3700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834700.1-p1   -           3700 224at5820            -           1959         0 3326.0 345.8  10  12   1.4e-10   9.4e-07   24.9   0.0  1741  1795  3339  3409  3335  3417 0.77 | transcript=PVP01_0834700.1 | gene=PVP01_0834700 | organism=Plasmodium_vivax_P01 | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=PvP01_08_v2:1458499-1469601(+) | protein_length=3700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834700.1-p1   -           3700 224at5820            -           1959         0 3326.0 345.8  11  12   3.2e-22   2.1e-18   63.6  13.8  1794  1865  3503  3583  3499  3588 0.83 | transcript=PVP01_0834700.1 | gene=PVP01_0834700 | organism=Plasmodium_vivax_P01 | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=PvP01_08_v2:1458499-1469601(+) | protein_length=3700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834700.1-p1   -           3700 224at5820            -           1959         0 3326.0 345.8  12  12   8.6e-53   5.6e-49  164.9  15.9  1820  1959  3562  3700  3557  3700 0.86 | transcript=PVP01_0834700.1 | gene=PVP01_0834700 | organism=Plasmodium_vivax_P01 | gene_product=protein dopey homolog, putative | transcript_product=protein dopey homolog, putative | location=PvP01_08_v2:1458499-1469601(+) | protein_length=3700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/224at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/224at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/224at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:56 2026
# [ok]
