#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0104800.1-p1   -           3833 221at5820            -           2863         0 4227.9 282.8   1   5  1.6e-229  5.1e-227  755.2  79.2     1   482     1   583     1   588 0.84 | transcript=PVP01_0104800.1 | gene=PVP01_0104800 | organism=Plasmodium_vivax_P01 | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=PvP01_01_v2:248713-261673(-) | protein_length=3833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104800.1-p1   -           3833 221at5820            -           2863         0 4227.9 282.8   2   5  1.2e-166  4.1e-164  546.5  22.2   464   872   600  1148   586  1155 0.84 | transcript=PVP01_0104800.1 | gene=PVP01_0104800 | organism=Plasmodium_vivax_P01 | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=PvP01_01_v2:248713-261673(-) | protein_length=3833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104800.1-p1   -           3833 221at5820            -           2863         0 4227.9 282.8   3   5  4.4e-149  1.4e-146  488.3  12.3   880  1247  1191  1697  1179  1711 0.84 | transcript=PVP01_0104800.1 | gene=PVP01_0104800 | organism=Plasmodium_vivax_P01 | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=PvP01_01_v2:248713-261673(-) | protein_length=3833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104800.1-p1   -           3833 221at5820            -           2863         0 4227.9 282.8   4   5  8.6e-204  2.8e-201  669.8  46.5  1237  1789  1757  2519  1693  2527 0.84 | transcript=PVP01_0104800.1 | gene=PVP01_0104800 | organism=Plasmodium_vivax_P01 | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=PvP01_01_v2:248713-261673(-) | protein_length=3833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104800.1-p1   -           3833 221at5820            -           2863         0 4227.9 282.8   5   5         0         0 1783.8  91.2  1789  2863  2549  3833  2538  3833 0.88 | transcript=PVP01_0104800.1 | gene=PVP01_0104800 | organism=Plasmodium_vivax_P01 | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=PvP01_01_v2:248713-261673(-) | protein_length=3833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920000.1-p1   -           1953 221at5820            -           2863   3.6e-21   72.2   0.9   1   1   1.8e-23   5.8e-21   71.6   0.9  2676  2857  1771  1948  1766  1953 0.96 | transcript=PVP01_0920000.1 | gene=PVP01_0920000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=PvP01_09_v2:867738-873599(+) | protein_length=1953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 221at5820            -           2863   2.1e-19   66.4  25.2   1   6     0.046        15    0.5   5.3   143   177  2544  2578  2472  2704 0.63 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 221at5820            -           2863   2.1e-19   66.4  25.2   2   6       5.2   1.7e+03   -6.3   6.5  2129  2378  3216  3518  3211  3581 0.41 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 221at5820            -           2863   2.1e-19   66.4  25.2   3   6         7   2.3e+03   -6.7   3.8   860   947  4449  4538  4441  4540 0.75 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 221at5820            -           2863   2.1e-19   66.4  25.2   4   6       2.4   7.8e+02   -5.2   4.7  2220  2326  6015  6137  5899  6188 0.44 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 221at5820            -           2863   2.1e-19   66.4  25.2   5   6      0.59   1.9e+02   -3.2   9.7   168   272  7325  7432  7217  7450 0.74 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0508200.1-p1   -           8558 221at5820            -           2863   2.1e-19   66.4  25.2   6   6   6.4e-22   2.1e-19   66.4  25.2  2589  2860  8289  8555  7811  8558 0.70 | transcript=PVP01_0508200.1 | gene=PVP01_0508200 | organism=Plasmodium_vivax_P01 | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=PvP01_05_v2:359975-385651(+) | protein_length=8558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
