#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1320100.1-p1   -            378 7976at5820           -            295  3.1e-144  478.4  23.1   1   1  5.2e-147  3.8e-144  478.1  23.1     1   295    36   374    36   374 0.94 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 7976at5820           -            295   7.1e-66  221.1  74.0   1   8   1.2e-09     9e-07   27.1   2.7   216   270    97   154    82   155 0.82 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 7976at5820           -            295   7.1e-66  221.1  74.0   2   8     2e-18   1.5e-15   56.0   6.0   206   274   145   219   137   225 0.82 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 7976at5820           -            295   7.1e-66  221.1  74.0   3   8   1.2e-09   8.9e-07   27.1   0.2   218   273   222   279   217   285 0.84 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 7976at5820           -            295   7.1e-66  221.1  74.0   4   8   3.8e-13   2.7e-10   38.7   4.9   168   268   288   408   285   421 0.75 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 7976at5820           -            295   7.1e-66  221.1  74.0   5   8      0.08        58    1.5   0.5    62   239   660   680   644   708 0.55 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 7976at5820           -            295   7.1e-66  221.1  74.0   6   8     4e-13   2.9e-10   38.6   5.0    32   127   710   812   701   819 0.81 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 7976at5820           -            295   7.1e-66  221.1  74.0   7   8   2.4e-16   1.7e-13   49.2  11.1    38   128   894   989   880  1006 0.82 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 7976at5820           -            295   7.1e-66  221.1  74.0   8   8   8.1e-07   0.00058   17.9   0.2    74   135  1007  1074   991  1082 0.78 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 7976at5820           -            295   5.8e-50  168.9  57.9   1   4    0.0035       2.5    6.0   0.2    55    74   210   229   203   234 0.81 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 7976at5820           -            295   5.8e-50  168.9  57.9   2   4   4.9e-28   3.5e-25   87.5  18.5     1   135   216   362   216   365 0.86 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
