#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0714800.1-p1   -           1941 2274at5820           -           1023         0 1254.9 124.4   1  12   3.1e-18     2e-14   51.0   3.3     1    63     1    68     1    72 0.87 | transcript=PVP01_0714800.1 | gene=PVP01_0714800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:673616-679441(+) | protein_length=1941 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714800.1-p1   -           1941 2274at5820           -           1023         0 1254.9 124.4   2  12   1.2e-37   7.7e-34  115.2   0.1    58   151   109   202    98   211 0.94 | transcript=PVP01_0714800.1 | gene=PVP01_0714800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:673616-679441(+) | protein_length=1941 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714800.1-p1   -           1941 2274at5820           -           1023         0 1254.9 124.4   3  12   2.5e-57   1.6e-53  180.4  12.6   137   249   233   346   213   356 0.92 | transcript=PVP01_0714800.1 | gene=PVP01_0714800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:673616-679441(+) | protein_length=1941 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714800.1-p1   -           1941 2274at5820           -           1023         0 1254.9 124.4   4  12   4.2e-32   2.7e-28   96.9   0.3   249   334   412   518   405   521 0.85 | transcript=PVP01_0714800.1 | gene=PVP01_0714800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:673616-679441(+) | protein_length=1941 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714800.1-p1   -           1941 2274at5820           -           1023         0 1254.9 124.4   5  12   3.3e-50   2.1e-46  156.8   3.4   341   460   596   719   576   739 0.89 | transcript=PVP01_0714800.1 | gene=PVP01_0714800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:673616-679441(+) | protein_length=1941 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714800.1-p1   -           1941 2274at5820           -           1023         0 1254.9 124.4   6  12   2.1e-27   1.4e-23   81.3   7.7   453   536   778   860   747   865 0.76 | transcript=PVP01_0714800.1 | gene=PVP01_0714800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:673616-679441(+) | protein_length=1941 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714800.1-p1   -           1941 2274at5820           -           1023         0 1254.9 124.4   7  12   8.2e-10   5.4e-06   23.1   0.1   533   576   940   991   935  1002 0.82 | transcript=PVP01_0714800.1 | gene=PVP01_0714800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:673616-679441(+) | protein_length=1941 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714800.1-p1   -           1941 2274at5820           -           1023         0 1254.9 124.4   8  12   2.7e-74   1.8e-70  236.5  16.4   567   724  1220  1381  1210  1390 0.94 | transcript=PVP01_0714800.1 | gene=PVP01_0714800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:673616-679441(+) | protein_length=1941 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714800.1-p1   -           1941 2274at5820           -           1023         0 1254.9 124.4   9  12   4.6e-39     3e-35  119.9   0.2   727   825  1467  1567  1461  1575 0.92 | transcript=PVP01_0714800.1 | gene=PVP01_0714800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:673616-679441(+) | protein_length=1941 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714800.1-p1   -           1941 2274at5820           -           1023         0 1254.9 124.4  10  12   0.00023       1.5    5.0   0.0   829   853  1671  1695  1664  1699 0.89 | transcript=PVP01_0714800.1 | gene=PVP01_0714800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:673616-679441(+) | protein_length=1941 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714800.1-p1   -           1941 2274at5820           -           1023         0 1254.9 124.4  11  12   2.8e-42   1.8e-38  130.5  10.5   852   950  1731  1830  1729  1841 0.94 | transcript=PVP01_0714800.1 | gene=PVP01_0714800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:673616-679441(+) | protein_length=1941 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714800.1-p1   -           1941 2274at5820           -           1023         0 1254.9 124.4  12  12   1.2e-34   7.6e-31  105.3   3.9   952  1023  1858  1940  1842  1940 0.89 | transcript=PVP01_0714800.1 | gene=PVP01_0714800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:673616-679441(+) | protein_length=1941 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2274at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
