#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1028800.1-p1   -            606 5548at5820           -            458  5.4e-256  848.2  40.3   1   2   9.3e-81   6.7e-78  261.0   3.3     1   139     1   143     1   149 0.96 | transcript=PVP01_1028800.1 | gene=PVP01_1028800 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_10_v2:1228590-1230410(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028800.1-p1   -            606 5548at5820           -            458  5.4e-256  848.2  40.3   2   2  2.2e-181  1.6e-178  592.8  29.2   130   458   241   606   235   606 0.93 | transcript=PVP01_1028800.1 | gene=PVP01_1028800 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_10_v2:1228590-1230410(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 5548at5820           -            458   3.5e-43  146.6   0.1   1   5   3.9e-06    0.0028   15.0   0.0     5    38    16    49    13    55 0.90 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 5548at5820           -            458   3.5e-43  146.6   0.1   2   5   0.00059      0.43    7.8   0.0    67   112    67   113    64   121 0.83 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 5548at5820           -            458   3.5e-43  146.6   0.1   3   5   3.5e-19   2.6e-16   58.0   0.0   166   275   133   246   128   249 0.95 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 5548at5820           -            458   3.5e-43  146.6   0.1   4   5      0.27   1.9e+02   -0.9   0.0   278   315   273   310   264   341 0.71 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 5548at5820           -            458   3.5e-43  146.6   0.1   5   5   1.4e-19     1e-16   59.3   0.0   319   458   347   492   323   492 0.78 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336400.1-p1   -            376 5548at5820           -            458   1.7e-35  121.2   0.0   1   2   8.7e-05     0.063   10.6   0.0     8    41     6    39     2    71 0.84 | transcript=PVP01_1336400.1 | gene=PVP01_1336400 | organism=Plasmodium_vivax_P01 | gene_product=actin II | transcript_product=actin II | location=PvP01_13_v2:1568504-1569804(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336400.1-p1   -            376 5548at5820           -            458   1.7e-35  121.2   0.0   2   2   4.8e-34   3.5e-31  107.0   0.0   185   458   112   375    91   375 0.89 | transcript=PVP01_1336400.1 | gene=PVP01_1336400 | organism=Plasmodium_vivax_P01 | gene_product=actin II | transcript_product=actin II | location=PvP01_13_v2:1568504-1569804(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210900.1-p1   -            379 5548at5820           -            458   1.8e-33  114.5   2.1   1   2   0.00017      0.12    9.6   0.1     9    40    13    44     1    58 0.90 | transcript=PVP01_0210900.1 | gene=PVP01_0210900 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=PvP01_02_v2:443680-446361(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210900.1-p1   -            379 5548at5820           -            458   1.8e-33  114.5   2.1   2   2     5e-33   3.6e-30  103.7   0.3   152   457    84   377    52   378 0.87 | transcript=PVP01_0210900.1 | gene=PVP01_0210900 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=PvP01_02_v2:443680-446361(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463200.1-p1   -            376 5548at5820           -            458   4.9e-33  113.1   0.0   1   2   1.8e-06    0.0013   16.1   0.0     6    40     5    39     2    51 0.91 | transcript=PVP01_1463200.1 | gene=PVP01_1463200 | organism=Plasmodium_vivax_P01 | gene_product=actin, putative | transcript_product=actin, putative | location=PvP01_14_v2:2720583-2721713(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463200.1-p1   -            376 5548at5820           -            458   4.9e-33  113.1   0.0   2   2   1.6e-29   1.1e-26   92.1   0.0   186   458   114   375    93   375 0.89 | transcript=PVP01_1463200.1 | gene=PVP01_1463200 | organism=Plasmodium_vivax_P01 | gene_product=actin, putative | transcript_product=actin, putative | location=PvP01_14_v2:2720583-2721713(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904400.1-p1   -            491 5548at5820           -            458   3.2e-22   77.5  17.9   1   3    0.0033       2.4    5.4   0.4     5   113     3    97     1   105 0.65 | transcript=PVP01_0904400.1 | gene=PVP01_0904400 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:273305-274780(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904400.1-p1   -            491 5548at5820           -            458   3.2e-22   77.5  17.9   2   3   8.8e-14   6.3e-11   40.2   6.7   164   350    96   305    81   335 0.70 | transcript=PVP01_0904400.1 | gene=PVP01_0904400 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:273305-274780(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904400.1-p1   -            491 5548at5820           -            458   3.2e-22   77.5  17.9   3   3   2.5e-13   1.8e-10   38.7   0.8   374   458   401   490   370   490 0.79 | transcript=PVP01_0904400.1 | gene=PVP01_0904400 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:273305-274780(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
