#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0723900.1-p1   -            516 6564at5820           -            370  2.2e-228  755.9  20.7   1   3       5.2   3.8e+03   -5.0   4.7     2    60    16    77    15    85 0.51 | transcript=PVP01_0723900.1 | gene=PVP01_0723900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=PvP01_07_v2:1022564-1024282(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0723900.1-p1   -            516 6564at5820           -            370  2.2e-228  755.9  20.7   2   3   2.6e-14   1.9e-11   42.1  10.9     6    62    90   158    86   170 0.82 | transcript=PVP01_0723900.1 | gene=PVP01_0723900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=PvP01_07_v2:1022564-1024282(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0723900.1-p1   -            516 6564at5820           -            370  2.2e-228  755.9  20.7   3   3  1.2e-222  8.7e-220  727.6   2.2    43   370   189   516   161   516 0.95 | transcript=PVP01_0723900.1 | gene=PVP01_0723900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=PvP01_07_v2:1022564-1024282(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0726200.1-p1   -            307 6564at5820           -            370  1.3e-115  384.9   2.5   1   1  2.3e-118  1.7e-115  384.5   2.5    66   351     7   286     3   297 0.97 | transcript=PVP01_0726200.1 | gene=PVP01_0726200 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=PvP01_07_v2:1125205-1126128(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825700.1-p1   -            308 6564at5820           -            370  1.1e-105  352.2   1.0   1   1  1.8e-108  1.3e-105  351.9   1.0    67   369     8   307     4   308 0.94 | transcript=PVP01_0825700.1 | gene=PVP01_0825700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=PvP01_08_v2:1152073-1152999(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334500.1-p1   -            304 6564at5820           -            370   5.8e-91  303.7   1.1   1   1   9.9e-94   7.2e-91  303.4   1.1    77   347    27   291     2   302 0.93 | transcript=PVP01_1334500.1 | gene=PVP01_1334500 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=PvP01_13_v2:1491222-1493377(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117400.1-p1   -            564 6564at5820           -            370   8.8e-67  224.1   0.6   1   1   1.8e-69   1.3e-66  223.6   0.6    86   340    61   324    45   340 0.88 | transcript=PVP01_0117400.1 | gene=PVP01_0117400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=PvP01_01_v2:781960-784201(-) | protein_length=564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 6564at5820           -            370   9.1e-63  210.9   1.8   1   1   3.5e-65   2.6e-62  209.5   1.8    82   339   541   827   505   833 0.85 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 6564at5820           -            370   1.6e-62  210.1   1.0   1   2      0.26   1.9e+02   -0.7   0.2    15    71   143   200   132   210 0.81 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 6564at5820           -            370   1.6e-62  210.1   1.0   2   2   2.2e-65   1.6e-62  210.1   1.0    17   336   331   646   314   673 0.86 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603400.1-p1   -           2056 6564at5820           -            370   2.3e-44  150.4   0.1   1   2   6.7e-09   4.9e-06   24.3   0.0    80   130  1129  1179  1108  1201 0.90 | transcript=PVP01_0603400.1 | gene=PVP01_0603400 | organism=Plasmodium_vivax_P01 | gene_product=pseudophosphatase PPP8, putative | transcript_product=pseudophosphatase PPP8, putative | location=PvP01_06_v2:126689-133008(-) | protein_length=2056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603400.1-p1   -           2056 6564at5820           -            370   2.3e-44  150.4   0.1   2   2   8.9e-39   6.5e-36  122.6   0.0   131   336  1250  1497  1246  1512 0.79 | transcript=PVP01_0603400.1 | gene=PVP01_0603400 | organism=Plasmodium_vivax_P01 | gene_product=pseudophosphatase PPP8, putative | transcript_product=pseudophosphatase PPP8, putative | location=PvP01_06_v2:126689-133008(-) | protein_length=2056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325700.1-p1   -            969 6564at5820           -            370   8.8e-44  148.5   1.3   1   1   3.1e-46   2.3e-43  147.1   1.3   105   339   255   493   145   519 0.81 | transcript=PVP01_1325700.1 | gene=PVP01_1325700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=PvP01_13_v2:1115890-1121168(-) | protein_length=969 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6564at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6564at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6564at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:31 2026
# [ok]
