#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1136300.1-p1   -            431 9720at5820           -            257  1.2e-111  370.7   1.4   1   3    0.0028       2.3    6.0   0.0     1    18    60    77    60    81 0.91 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 9720at5820           -            257  1.2e-111  370.7   1.4   2   3   2.3e-64   1.9e-61  206.2   0.2    16   137    96   223    89   228 0.93 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136300.1-p1   -            431 9720at5820           -            257  1.2e-111  370.7   1.4   3   3   4.6e-49   3.7e-46  156.1   0.0   137   253   285   414   281   418 0.88 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 9720at5820           -            257     5e-55  185.1  67.7   1  10         1   8.2e+02   -2.4   0.1    54    68   288   302   282   357 0.44 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 9720at5820           -            257     5e-55  185.1  67.7   2  10   5.7e-06    0.0046   14.9   2.5   120   236   503   613   458   631 0.73 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 9720at5820           -            257     5e-55  185.1  67.7   3  10      0.69   5.6e+02   -1.8   0.0     3    43   657   696   655   703 0.74 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 9720at5820           -            257     5e-55  185.1  67.7   4  10   1.2e-13   9.9e-11   40.0   0.5    90   206   819   938   808   972 0.79 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 9720at5820           -            257     5e-55  185.1  67.7   5  10      0.83   6.8e+02   -2.1   0.0     2    43  1034  1075  1033  1080 0.82 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 9720at5820           -            257     5e-55  185.1  67.7   6  10   1.2e-18   9.8e-16   56.4   9.3    45   194  1124  1279  1116  1337 0.71 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 9720at5820           -            257     5e-55  185.1  67.7   7  10   7.8e-06    0.0063   14.4   2.9   146   191  1621  1666  1517  1673 0.62 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 9720at5820           -            257     5e-55  185.1  67.7   8  10   0.00031      0.25    9.2   0.3    65   112  1674  1726  1666  1745 0.77 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 9720at5820           -            257     5e-55  185.1  67.7   9  10    0.0007      0.57    8.0   0.1    22    66  1853  1897  1838  1908 0.81 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
