#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0815600.1-p1   -            572 5489at5820           -            451  7.4e-239  791.4  25.2   1   3   1.2e-13   1.5e-10   38.9   0.0    30    79    39    88    10   121 0.75 | transcript=PVP01_0815600.1 | gene=PVP01_0815600 | organism=Plasmodium_vivax_P01 | gene_product=nucleotidyltransferase, putative | transcript_product=nucleotidyltransferase, putative | location=PvP01_08_v2:689255-690973(-) | protein_length=572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815600.1-p1   -            572 5489at5820           -            451  7.4e-239  791.4  25.2   2   3    0.0039       5.1    4.2   0.0    59   114   136   197   109   203 0.67 | transcript=PVP01_0815600.1 | gene=PVP01_0815600 | organism=Plasmodium_vivax_P01 | gene_product=nucleotidyltransferase, putative | transcript_product=nucleotidyltransferase, putative | location=PvP01_08_v2:689255-690973(-) | protein_length=572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815600.1-p1   -            572 5489at5820           -            451  7.4e-239  791.4  25.2   3   3  2.5e-229  3.3e-226  749.8  20.3   116   449   238   572   233   572 0.99 | transcript=PVP01_0815600.1 | gene=PVP01_0815600 | organism=Plasmodium_vivax_P01 | gene_product=nucleotidyltransferase, putative | transcript_product=nucleotidyltransferase, putative | location=PvP01_08_v2:689255-690973(-) | protein_length=572 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451100.1-p1   -            537 5489at5820           -            451   4.6e-28   96.6  14.2   1   1   4.8e-31   6.2e-28   96.2  14.2   157   369   230   441   173   513 0.81 | transcript=PVP01_1451100.1 | gene=PVP01_1451100 | organism=Plasmodium_vivax_P01 | gene_product=nucleotidyltransferase, putative | transcript_product=nucleotidyltransferase, putative | location=PvP01_14_v2:2218249-2221232(-) | protein_length=537 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445600.1-p1   -            903 5489at5820           -            451   7.3e-09   33.3   8.2   1   2       1.1   1.4e+03   -3.9  12.8    36   120    51   133    25   144 0.49 | transcript=PVP01_1445600.1 | gene=PVP01_1445600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:1970865-1973576(-) | protein_length=903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445600.1-p1   -            903 5489at5820           -            451   7.3e-09   33.3   8.2   2   2   5.6e-12   7.3e-09   33.3   8.2   116   300   348   527   325   532 0.86 | transcript=PVP01_1445600.1 | gene=PVP01_1445600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:1970865-1973576(-) | protein_length=903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222300.1-p1   -            808 5489at5820           -            451   1.1e-07   29.4   2.1   1   2   2.1e-10   2.7e-07   28.1   0.4   152   300   417   558   394   563 0.81 | transcript=PVP01_1222300.1 | gene=PVP01_1222300 | organism=Plasmodium_vivax_P01 | gene_product=nucleotidyltransferase, putative | transcript_product=nucleotidyltransferase, putative | location=PvP01_12_v2:876319-878745(+) | protein_length=808 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222300.1-p1   -            808 5489at5820           -            451   1.1e-07   29.4   2.1   2   2     0.058        76    0.3   0.1   355   372   574   591   567   638 0.77 | transcript=PVP01_1222300.1 | gene=PVP01_1222300 | organism=Plasmodium_vivax_P01 | gene_product=nucleotidyltransferase, putative | transcript_product=nucleotidyltransferase, putative | location=PvP01_12_v2:876319-878745(+) | protein_length=808 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1034600.1-p1   -            573 5489at5820           -            451       1.3    6.1  10.2   1   1    0.0003       0.4    7.8   7.0    61   116    12    69     4   112 0.75 | transcript=PVP01_1034600.1 | gene=PVP01_1034600 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_10_v2:1479777-1481669(-) | protein_length=573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5489at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5489at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5489at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:53 2026
# [ok]
