#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1210900.1-p1   -            644 4935at5820           -            497  9.9e-298  986.4  49.1   1   4       7.2   1.4e+03   -3.7   0.0     1    19     1    19     1    28 0.73 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 4935at5820           -            497  9.9e-298  986.4  49.1   2   4     1e-53     2e-51  173.9   9.9     8   116    40   155    35   165 0.91 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 4935at5820           -            497  9.9e-298  986.4  49.1   3   4  2.7e-102  5.3e-100  334.2   9.4   106   277   166   337   154   341 0.97 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 4935at5820           -            497  9.9e-298  986.4  49.1   4   4  5.2e-150    1e-147  491.6  12.9   277   497   422   643   418   643 0.99 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4935at5820           -            497   7.6e-25   86.3   6.7   1   3   6.6e-20   1.3e-17   62.4   0.2   325   494     6   173     1   177 0.95 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4935at5820           -            497   7.6e-25   86.3   6.7   2   3   3.9e-08   7.8e-06   23.6   0.3   259   352   263   360   249   369 0.85 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4935at5820           -            497   7.6e-25   86.3   6.7   3   3      0.16        33    1.7   0.1   307   365  1059  1118  1054  1148 0.75 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 4935at5820           -            497   4.6e-19   67.2   4.3   1   2   2.6e-12   5.2e-10   37.3   1.1   229   362   260   399   244   400 0.83 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 4935at5820           -            497   4.6e-19   67.2   4.3   2   2   6.8e-13   1.3e-10   39.3   0.1   293   420   372   497   371   512 0.91 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438500.1-p1   -            612 4935at5820           -            497   4.9e-19   67.1  26.3   1   3      0.74   1.5e+02   -0.4   2.4   214   263    93   142    78   181 0.73 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438500.1-p1   -            612 4935at5820           -            497   4.9e-19   67.1  26.3   2   3   1.4e-07   2.8e-05   21.7   2.0   279   406   316   444   287   453 0.84 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
