#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0705700.1-p1   -           1224 4469at5820           -            832         0 1207.4  88.5   1   3   1.7e-06    0.0019   15.2   5.1     1    81     1    89     1   104 0.63 | transcript=PVP01_0705700.1 | gene=PVP01_0705700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_07_v2:322792-326466(+) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705700.1-p1   -           1224 4469at5820           -            832         0 1207.4  88.5   2   3         0         0 1027.4  11.0    31   571   105   737    93   790 0.87 | transcript=PVP01_0705700.1 | gene=PVP01_0705700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_07_v2:322792-326466(+) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705700.1-p1   -           1224 4469at5820           -            832         0 1207.4  88.5   3   3   7.3e-55   7.9e-52  175.2  57.0   575   825   864  1212   813  1222 0.73 | transcript=PVP01_0705700.1 | gene=PVP01_0705700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_07_v2:322792-326466(+) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228300.1-p1   -            547 4469at5820           -            832   1.8e-39  134.3  15.7   1   1   2.9e-42   3.1e-39  133.5  15.7   158   383   265   503   244   516 0.85 | transcript=PVP01_1228300.1 | gene=PVP01_1228300 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=PvP01_12_v2:1127957-1129600(-) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915000.1-p1   -            372 4469at5820           -            832   6.6e-23   79.5  19.3   1   2      0.78   8.5e+02   -3.6   4.8   545   658    23    64     2    82 0.26 | transcript=PVP01_0915000.1 | gene=PVP01_0915000 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_09_v2:681318-684314(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915000.1-p1   -            372 4469at5820           -            832   6.6e-23   79.5  19.3   2   2   6.1e-26   6.6e-23   79.5  19.3   148   388    86   336    62   354 0.82 | transcript=PVP01_0915000.1 | gene=PVP01_0915000 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_09_v2:681318-684314(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027300.1-p1   -            732 4469at5820           -            832   1.1e-17   62.2  12.5   1   3      0.87   9.5e+02   -3.7   1.3    70    92   119   141    82   161 0.38 | transcript=PVP01_1027300.1 | gene=PVP01_1027300 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_10_v2:1178035-1180233(-) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027300.1-p1   -            732 4469at5820           -            832   1.1e-17   62.2  12.5   2   3      0.05        55    0.4   0.0   192   213   255   276   227   279 0.91 | transcript=PVP01_1027300.1 | gene=PVP01_1027300 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_10_v2:1178035-1180233(-) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027300.1-p1   -            732 4469at5820           -            832   1.1e-17   62.2  12.5   3   3     1e-20   1.1e-17   62.2  12.5   222   382   325   484   323   491 0.97 | transcript=PVP01_1027300.1 | gene=PVP01_1027300 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_10_v2:1178035-1180233(-) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233700.1-p1   -            620 4469at5820           -            832   1.2e-09   35.6   7.8   1   3      0.62   6.7e+02   -3.2   0.1   529   529    28    28     5    91 0.51 | transcript=PVP01_1233700.1 | gene=PVP01_1233700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_12_v2:1353224-1355342(+) | protein_length=620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233700.1-p1   -            620 4469at5820           -            832   1.2e-09   35.6   7.8   2   3   2.5e-08   2.7e-05   21.2   0.0   187   258   146   217   140   244 0.84 | transcript=PVP01_1233700.1 | gene=PVP01_1233700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_12_v2:1353224-1355342(+) | protein_length=620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
