#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0215800.1-p1   -            901 6996at5820           -            561  4.4e-277  918.8  50.4   1   6     3e-29   9.9e-26   89.1   0.3     1    66    36   105    36   108 0.90 | transcript=PVP01_0215800.1 | gene=PVP01_0215800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=PvP01_02_v2:670381-673086(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215800.1-p1   -            901 6996at5820           -            561  4.4e-277  918.8  50.4   2   6  4.7e-131  1.5e-127  425.1  14.7    65   307   162   425   158   430 0.91 | transcript=PVP01_0215800.1 | gene=PVP01_0215800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=PvP01_02_v2:670381-673086(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215800.1-p1   -            901 6996at5820           -            561  4.4e-277  918.8  50.4   3   6   1.2e-40   3.8e-37  126.7   0.7   303   381   474   554   471   557 0.93 | transcript=PVP01_0215800.1 | gene=PVP01_0215800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=PvP01_02_v2:670381-673086(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215800.1-p1   -            901 6996at5820           -            561  4.4e-277  918.8  50.4   4   6   8.6e-32   2.8e-28   97.5   1.1   382   443   584   645   581   658 0.94 | transcript=PVP01_0215800.1 | gene=PVP01_0215800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=PvP01_02_v2:670381-673086(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215800.1-p1   -            901 6996at5820           -            561  4.4e-277  918.8  50.4   5   6   8.1e-41   2.7e-37  127.2   1.4   431   517   655   742   650   745 0.91 | transcript=PVP01_0215800.1 | gene=PVP01_0215800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=PvP01_02_v2:670381-673086(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215800.1-p1   -            901 6996at5820           -            561  4.4e-277  918.8  50.4   6   6   1.8e-25   5.9e-22   76.6   0.5   511   561   838   888   822   888 0.90 | transcript=PVP01_0215800.1 | gene=PVP01_0215800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=PvP01_02_v2:670381-673086(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620100.1-p1   -           1170 6996at5820           -            561   1.7e-15   55.3  19.9   1   4   2.6e-05     0.084   10.1   2.1    16    90    37   117    29   137 0.64 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620100.1-p1   -           1170 6996at5820           -            561   1.7e-15   55.3  19.9   2   4   8.2e-08   0.00027   18.3   0.6    61   115   483   537   466   553 0.84 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620100.1-p1   -           1170 6996at5820           -            561   1.7e-15   55.3  19.9   3   4   9.6e-13   3.1e-09   34.6   0.9   140   225   589   677   583   686 0.83 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620100.1-p1   -           1170 6996at5820           -            561   1.7e-15   55.3  19.9   4   4    0.0058        19    2.3   0.1   329   361   899   932   880   950 0.78 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
