#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0303700.1-p1   -            353 7798at5820           -            253    2e-109  363.4  22.4   1   1  6.6e-112  4.8e-109  362.2  22.4     8   252    55   345    34   346 0.86 | transcript=PVP01_0303700.1 | gene=PVP01_0303700 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=PvP01_03_v2:192753-193814(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 7798at5820           -            253   1.1e-41  141.5  65.2   1  10       1.4     1e+03   -2.6   0.3    87   124   248   281   229   299 0.71 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 7798at5820           -            253   1.1e-41  141.5  65.2   2  10    0.0014      0.99    7.3   0.6    93   191   356   457   326   516 0.63 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 7798at5820           -            253   1.1e-41  141.5  65.2   3  10   3.3e-13   2.4e-10   38.8   2.8    66   244   705   890   696   898 0.72 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 7798at5820           -            253   1.1e-41  141.5  65.2   4  10   2.8e-09   2.1e-06   25.9   2.1    90   243  1038  1184  1032  1187 0.71 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 7798at5820           -            253   1.1e-41  141.5  65.2   5  10   8.9e-07   0.00064   17.8   0.6    30   154  1105  1230  1100  1242 0.75 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 7798at5820           -            253   1.1e-41  141.5  65.2   6  10   2.5e-10   1.8e-07   29.4   1.3   105   242  1505  1641  1457  1645 0.67 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 7798at5820           -            253   1.1e-41  141.5  65.2   7  10   1.2e-08   8.7e-06   23.9   0.1   125   206  1813  1892  1794  1914 0.82 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 7798at5820           -            253   1.1e-41  141.5  65.2   8  10      0.82   5.9e+02   -1.8   0.0   155   178  2084  2107  2066  2128 0.77 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 7798at5820           -            253   1.1e-41  141.5  65.2   9  10     2e-12   1.5e-09   36.3   2.2    64   243  2187  2400  2161  2410 0.62 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 7798at5820           -            253   1.1e-41  141.5  65.2  10  10   1.7e-05     0.012   13.6   4.5    43   202  2468  2641  2436  2688 0.68 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
