#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0104400.1-p1   -           1116 2233at5820           -            734         0 1325.3  97.0   1   6  2.2e-105  2.4e-102  342.1  17.4     6   178    16   188     7   197 0.95 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 2233at5820           -            734         0 1325.3  97.0   2   6  1.1e-165  1.2e-162  541.5  24.2   177   457   251   549   245   552 0.93 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 2233at5820           -            734         0 1325.3  97.0   3   6      0.39   4.3e+02   -2.5  11.3   435   462   545   573   540   610 0.71 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 2233at5820           -            734         0 1325.3  97.0   4   6    0.0028         3    4.6   0.0   459   477   700   718   690   722 0.90 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 2233at5820           -            734         0 1325.3  97.0   5   6   9.1e-98   9.9e-95  317.0  11.4   459   659   762   969   741   974 0.89 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 2233at5820           -            734         0 1325.3  97.0   6   6   2.9e-45   3.2e-42  143.4   5.7   651   734  1032  1116  1014  1116 0.93 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930100.1-p1   -            641 2233at5820           -            734   1.6e-19   68.3  10.0   1   3   6.9e-07   0.00075   16.5   0.0   107   149   281   325   271   332 0.86 | transcript=PVP01_0930100.1 | gene=PVP01_0930100 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_09_v2:1310745-1312670(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930100.1-p1   -            641 2233at5820           -            734   1.6e-19   68.3  10.0   2   3   4.7e-19   5.1e-16   56.8   0.7   214   336   331   452   325   460 0.93 | transcript=PVP01_0930100.1 | gene=PVP01_0930100 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_09_v2:1310745-1312670(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930100.1-p1   -            641 2233at5820           -            734   1.6e-19   68.3  10.0   3   3      0.11   1.2e+02   -0.6   0.1   404   440   475   506   464   513 0.78 | transcript=PVP01_0930100.1 | gene=PVP01_0930100 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_09_v2:1310745-1312670(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911800.1-p1   -            505 2233at5820           -            734     2e-18   64.7   5.0   1   2   4.2e-07   0.00045   17.2   0.1   114   216   206   311   199   316 0.75 | transcript=PVP01_0911800.1 | gene=PVP01_0911800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=PvP01_09_v2:567415-568932(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911800.1-p1   -            505 2233at5820           -            734     2e-18   64.7   5.0   2   2   6.6e-17   7.1e-14   49.6   2.1   236   353   310   432   280   438 0.79 | transcript=PVP01_0911800.1 | gene=PVP01_0911800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=PvP01_09_v2:567415-568932(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
