#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1119000.1-p1   -            513 8004at5820           -            390  9.9e-208  688.1  26.7   1   1  1.4e-210  1.3e-207  687.8  26.7     1   390    91   513    91   513 0.95 | transcript=PVP01_1119000.1 | gene=PVP01_1119000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=PvP01_11_v2:801133-802674(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 8004at5820           -            390     6e-10   37.0   2.1   1   3   2.9e-11   2.7e-08   31.6   0.2   177   308    30   160    11   173 0.86 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 8004at5820           -            390     6e-10   37.0   2.1   2   3      0.13   1.3e+02   -0.3   0.0   181   212   201   232   176   236 0.72 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 8004at5820           -            390     6e-10   37.0   2.1   3   3     0.011        10    3.3   0.1   186   217   257   286   250   302 0.81 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007500.1-p1   -            329 8004at5820           -            390   7.9e-09   33.3  11.2   1   3     5e-06    0.0047   14.3   0.7   147   212    29    92     3   107 0.76 | transcript=PVP01_1007500.1 | gene=PVP01_1007500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=PvP01_10_v2:341065-342054(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007500.1-p1   -            329 8004at5820           -            390   7.9e-09   33.3  11.2   2   3   7.4e-07   0.00069   17.1   0.3   270   354   104   182    94   194 0.79 | transcript=PVP01_1007500.1 | gene=PVP01_1007500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=PvP01_10_v2:341065-342054(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007500.1-p1   -            329 8004at5820           -            390   7.9e-09   33.3  11.2   3   3   0.00037      0.34    8.2   0.4   101   211   197   305   190   325 0.66 | transcript=PVP01_1007500.1 | gene=PVP01_1007500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=PvP01_10_v2:341065-342054(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 8004at5820           -            390   3.1e-07   28.1   1.6   1   2    0.0014       1.3    6.2   0.0   234   260    80   106    72   117 0.82 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 8004at5820           -            390   3.1e-07   28.1   1.6   2   2   1.4e-07   0.00013   19.4   0.9   267   361   216   301   203   306 0.79 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 8004at5820           -            390   8.9e-06   23.3   6.8   1   4      0.53   4.9e+02   -2.2   0.0   339   358    43    60    39    81 0.62 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 8004at5820           -            390   8.9e-06   23.3   6.8   2   4    0.0014       1.3    6.3   0.1   110   129    82   101    55   105 0.86 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
