#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1412000.1-p1   -             89 15091at5820          -             78   6.1e-43  143.7  11.5   1   1   8.8e-46   1.4e-42  142.5  11.5     1    78     1    89     1    89 0.93 | transcript=PVP01_1412000.1 | gene=PVP01_1412000 | organism=Plasmodium_vivax_P01 | gene_product=protein ISD11, putative | transcript_product=protein ISD11, putative | location=PvP01_14_v2:536969-537383(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305400.1-p1   -            497 15091at5820          -             78     0.091   11.8  16.3   1   4         3   4.9e+03   -3.4   0.3    47    62    32    47    18    64 0.54 | transcript=PVP01_0305400.1 | gene=PVP01_0305400 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_03_v2:288367-289860(+) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305400.1-p1   -            497 15091at5820          -             78     0.091   11.8  16.3   2   4   0.00013      0.21   10.6   3.8    11    71   116   181   109   185 0.80 | transcript=PVP01_0305400.1 | gene=PVP01_0305400 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_03_v2:288367-289860(+) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305400.1-p1   -            497 15091at5820          -             78     0.091   11.8  16.3   3   4      0.11   1.8e+02    1.2   0.1     7    20   303   316   296   328 0.74 | transcript=PVP01_0305400.1 | gene=PVP01_0305400 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_03_v2:288367-289860(+) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305400.1-p1   -            497 15091at5820          -             78     0.091   11.8  16.3   4   4    0.0015       2.5    7.2   0.0     8    66   401   459   395   464 0.75 | transcript=PVP01_0305400.1 | gene=PVP01_0305400 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_03_v2:288367-289860(+) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0003880.1-p1   -            282 15091at5820          -             78       2.7    7.0   8.3   1   3      0.15   2.5e+02    0.7   0.7    27    54    80   107    54   118 0.75 | transcript=PVP01_0003880.1 | gene=PVP01_0003880 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_9.final:115663-116755(+) | protein_length=282 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0003880.1-p1   -            282 15091at5820          -             78       2.7    7.0   8.3   2   3      0.47   7.6e+02   -0.8   0.1     4    13   123   132   121   142 0.83 | transcript=PVP01_0003880.1 | gene=PVP01_0003880 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_9.final:115663-116755(+) | protein_length=282 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0003880.1-p1   -            282 15091at5820          -             78       2.7    7.0   8.3   3   3    0.0003      0.49    9.4   0.2    32    56   166   190   153   198 0.87 | transcript=PVP01_0003880.1 | gene=PVP01_0003880 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_9.final:115663-116755(+) | protein_length=282 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0112300.1-p1   -           1421 15091at5820          -             78       3.1    6.8   9.8   1   3   0.00048      0.79    8.7   0.3     6    48   400   442   396   453 0.87 | transcript=PVP01_0112300.1 | gene=PVP01_0112300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=PvP01_01_v2:559881-564446(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112300.1-p1   -           1421 15091at5820          -             78       3.1    6.8   9.8   2   3      0.84   1.4e+03   -1.6   0.0    15    30   582   597   571   600 0.74 | transcript=PVP01_0112300.1 | gene=PVP01_0112300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=PvP01_01_v2:559881-564446(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112300.1-p1   -           1421 15091at5820          -             78       3.1    6.8   9.8   3   3     0.072   1.2e+02    1.8   1.3    18    51   818   853   806   875 0.82 | transcript=PVP01_0112300.1 | gene=PVP01_0112300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=PvP01_01_v2:559881-564446(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15091at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15091at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15091at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:03 2026
# [ok]
