#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1315700.1-p1   -           2253 459at5820            -           1365         0 1978.2 138.1   1   9     2e-26   1.3e-22   78.0   0.2     1    58     1    58     1    75 0.89 | transcript=PVP01_1315700.1 | gene=PVP01_1315700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:719794-726555(+) | protein_length=2253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315700.1-p1   -           2253 459at5820            -           1365         0 1978.2 138.1   2   9  7.1e-144  4.6e-140  467.1  30.2    46   341   129   454   117   460 0.89 | transcript=PVP01_1315700.1 | gene=PVP01_1315700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:719794-726555(+) | protein_length=2253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315700.1-p1   -           2253 459at5820            -           1365         0 1978.2 138.1   3   9  1.3e-160  8.2e-157  522.6  32.9   361   678   626   957   613   964 0.94 | transcript=PVP01_1315700.1 | gene=PVP01_1315700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:719794-726555(+) | protein_length=2253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315700.1-p1   -           2253 459at5820            -           1365         0 1978.2 138.1   4   9   1.2e-14   7.6e-11   39.0   0.0   676   717  1185  1227  1171  1232 0.88 | transcript=PVP01_1315700.1 | gene=PVP01_1315700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:719794-726555(+) | protein_length=2253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315700.1-p1   -           2253 459at5820            -           1365         0 1978.2 138.1   5   9   1.4e-85   9.2e-82  274.0  11.2   721   902  1275  1478  1269  1507 0.94 | transcript=PVP01_1315700.1 | gene=PVP01_1315700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:719794-726555(+) | protein_length=2253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315700.1-p1   -           2253 459at5820            -           1365         0 1978.2 138.1   6   9   1.1e-14     7e-11   39.1   0.1   922   968  1588  1637  1584  1642 0.90 | transcript=PVP01_1315700.1 | gene=PVP01_1315700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:719794-726555(+) | protein_length=2253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315700.1-p1   -           2253 459at5820            -           1365         0 1978.2 138.1   7   9  2.3e-101   1.5e-97  326.3  10.5   965  1195  1693  1942  1687  1953 0.89 | transcript=PVP01_1315700.1 | gene=PVP01_1315700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:719794-726555(+) | protein_length=2253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315700.1-p1   -           2253 459at5820            -           1365         0 1978.2 138.1   8   9   1.5e-16   9.7e-13   45.3   0.4  1187  1233  2028  2074  2013  2085 0.82 | transcript=PVP01_1315700.1 | gene=PVP01_1315700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:719794-726555(+) | protein_length=2253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315700.1-p1   -           2253 459at5820            -           1365         0 1978.2 138.1   9   9   6.6e-69   4.3e-65  218.7   7.1  1220  1364  2086  2243  2079  2244 0.88 | transcript=PVP01_1315700.1 | gene=PVP01_1315700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:719794-726555(+) | protein_length=2253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/459at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/459at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/459at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:19 2026
# [ok]
