#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1224200.1-p1   -            334 11160at5820          -            250  9.7e-116  384.3  34.1   1   3       2.9   8.7e+02   -2.0   0.3     1     9     1     9     1    13 0.89 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 11160at5820          -            250  9.7e-116  384.3  34.1   2   3    2e-103  5.8e-101  335.9  18.0     8   216    34   267    31   284 0.88 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 11160at5820          -            250  9.7e-116  384.3  34.1   3   3   1.3e-16     4e-14   51.5   3.3   209   250   293   334   276   334 0.89 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411800.1-p1   -            328 11160at5820          -            250   8.5e-22   76.6   0.3   1   1   4.5e-24   1.3e-21   76.0   0.3    16    91     3    80     1   143 0.89 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1271300.1-p1   -            406 11160at5820          -            250   1.1e-20   73.0   0.3   1   1   5.9e-23   1.7e-20   72.3   0.3    15    94    80   161    73   184 0.92 | transcript=PVP01_1271300.1 | gene=PVP01_1271300 | organism=Plasmodium_vivax_P01 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=PvP01_12_v2:3014790-3016631(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 11160at5820          -            250   2.9e-20   71.6  11.9   1   2   2.1e-22   6.3e-20   70.5   3.0    16   114     5    99     1   125 0.76 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 11160at5820          -            250   2.9e-20   71.6  11.9   2   2    0.0092       2.7    6.2   2.1   133   198   159   226   113   235 0.73 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 11160at5820          -            250   1.8e-19   69.0   3.1   1   1   1.2e-21   3.5e-19   68.0   3.1    11   101    40   131    33   174 0.84 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0217000.1-p1   -            420 11160at5820          -            250   1.9e-18   65.6   6.0   1   1   1.1e-20   3.4e-18   64.8   6.0    16   147    84   224    76   238 0.81 | transcript=PVP01_0217000.1 | gene=PVP01_0217000 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein, putative, DnaJ domain containing protein | transcript_product=heat shock protein, putative | location=PvP01_02_v2:734503-736528(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 11160at5820          -            250   2.1e-18   65.5   1.4   1   1   1.5e-20   4.6e-18   64.4   0.9    10    98    20   103    15   132 0.88 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 11160at5820          -            250   1.8e-16   59.1   0.3   1   2   6.2e-19   1.8e-16   59.1   0.3    16    81    33    94    21   104 0.91 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
