#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0315100.1-p1   -           1300 3245at5820           -            805  4.1e-270  896.9  12.5   1  12   1.1e-24   3.5e-21   73.6   0.0     4    65    11    72     8    79 0.94 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315100.1-p1   -           1300 3245at5820           -            805  4.1e-270  896.9  12.5   2  12   3.5e-07    0.0011   15.7   0.1    64    88   107   131   101   137 0.86 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315100.1-p1   -           1300 3245at5820           -            805  4.1e-270  896.9  12.5   3  12   6.1e-34     2e-30  104.2   0.0    88   193   165   283   149   288 0.83 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315100.1-p1   -           1300 3245at5820           -            805  4.1e-270  896.9  12.5   4  12   1.8e-10   5.8e-07   26.6   0.0   193   234   350   392   346   407 0.92 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315100.1-p1   -           1300 3245at5820           -            805  4.1e-270  896.9  12.5   5  12   2.3e-05     0.077    9.7   0.1   234   254   424   444   409   447 0.86 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315100.1-p1   -           1300 3245at5820           -            805  4.1e-270  896.9  12.5   6  12   2.7e-41   8.8e-38  128.5   0.5   256   363   474   587   471   590 0.91 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315100.1-p1   -           1300 3245at5820           -            805  4.1e-270  896.9  12.5   7  12   2.3e-34   7.7e-31  105.6   0.0   361   454   608   705   601   711 0.91 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315100.1-p1   -           1300 3245at5820           -            805  4.1e-270  896.9  12.5   8  12   3.9e-52   1.3e-48  164.4   0.0   451   572   735   874   733   881 0.87 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315100.1-p1   -           1300 3245at5820           -            805  4.1e-270  896.9  12.5   9  12   2.7e-15   8.6e-12   42.6   0.0   570   618   912   960   902   971 0.90 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315100.1-p1   -           1300 3245at5820           -            805  4.1e-270  896.9  12.5  10  12     0.093     3e+02   -2.2   0.0   616   636   995  1015   988  1018 0.83 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315100.1-p1   -           1300 3245at5820           -            805  4.1e-270  896.9  12.5  11  12   2.7e-23   8.9e-20   69.0   0.0   638   697  1092  1151  1089  1155 0.95 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315100.1-p1   -           1300 3245at5820           -            805  4.1e-270  896.9  12.5  12  12   6.2e-48     2e-44  150.5   0.3   693   805  1178  1298  1174  1298 0.94 | transcript=PVP01_0315100.1 | gene=PVP01_0315100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:674100-678002(-) | protein_length=1300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518700.1-p1   -           1090 3245at5820           -            805   3.1e-21   73.8   0.0   1   1   2.1e-24   6.9e-21   72.6   0.0   693   745    33    85    25    92 0.95 | transcript=PVP01_0518700.1 | gene=PVP01_0518700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=PvP01_05_v2:775393-778665(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3245at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3245at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3245at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:10 2026
# [ok]
