#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0732000.1-p1   -            868 6632at5820           -            510  1.3e-147  491.4   0.9   1   9     9e-38   5.9e-34  116.4   1.4     1   115     1   156     1   160 0.89 | transcript=PVP01_0732000.1 | gene=PVP01_0732000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1337936-1340542(+) | protein_length=868 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732000.1-p1   -            868 6632at5820           -            510  1.3e-147  491.4   0.9   2   9   1.8e-22   1.2e-18   65.9   0.1   110   178   177   246   174   249 0.93 | transcript=PVP01_0732000.1 | gene=PVP01_0732000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1337936-1340542(+) | protein_length=868 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732000.1-p1   -            868 6632at5820           -            510  1.3e-147  491.4   0.9   3   9   3.1e-31     2e-27   94.8   0.1   179   259   272   356   270   362 0.93 | transcript=PVP01_0732000.1 | gene=PVP01_0732000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1337936-1340542(+) | protein_length=868 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732000.1-p1   -            868 6632at5820           -            510  1.3e-147  491.4   0.9   4   9   1.9e-11   1.2e-07   29.6   0.0   258   308   384   442   382   448 0.84 | transcript=PVP01_0732000.1 | gene=PVP01_0732000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1337936-1340542(+) | protein_length=868 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732000.1-p1   -            868 6632at5820           -            510  1.3e-147  491.4   0.9   5   9   8.1e-11   5.3e-07   27.5   0.0   305   347   462   510   457   515 0.86 | transcript=PVP01_0732000.1 | gene=PVP01_0732000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1337936-1340542(+) | protein_length=868 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732000.1-p1   -            868 6632at5820           -            510  1.3e-147  491.4   0.9   6   9   1.3e-05     0.083   10.3   0.0   339   364   550   575   543   580 0.83 | transcript=PVP01_0732000.1 | gene=PVP01_0732000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1337936-1340542(+) | protein_length=868 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732000.1-p1   -            868 6632at5820           -            510  1.3e-147  491.4   0.9   7   9     8e-09   5.2e-05   20.9   0.0   364   388   603   627   598   636 0.89 | transcript=PVP01_0732000.1 | gene=PVP01_0732000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1337936-1340542(+) | protein_length=868 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732000.1-p1   -            868 6632at5820           -            510  1.3e-147  491.4   0.9   8   9   3.4e-15   2.2e-11   41.9   0.0   385   427   654   697   651   701 0.91 | transcript=PVP01_0732000.1 | gene=PVP01_0732000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1337936-1340542(+) | protein_length=868 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732000.1-p1   -            868 6632at5820           -            510  1.3e-147  491.4   0.9   9   9   6.8e-23   4.5e-19   67.3   0.0   425   509   765   866   760   867 0.83 | transcript=PVP01_0732000.1 | gene=PVP01_0732000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1337936-1340542(+) | protein_length=868 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6632at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6632at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6632at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:49 2026
# [ok]
