#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7   1  13   3.5e-89   7.7e-86  287.5  20.3     1   181     1   184     1   187 0.98 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7   2  13   5.8e-91   1.3e-87  293.4  15.5   183   384   235   455   231   460 0.90 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7   3  13   3.6e-23   7.9e-20   68.8   8.2   371   479   483   624   480   630 0.73 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7   4  13   1.7e-05     0.037   10.3   0.1   475   504   683   712   645   735 0.80 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7   5  13   1.1e-05     0.025   10.9   2.8   510   562   971  1026   941  1034 0.69 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7   6  13   8.9e-05      0.19    7.9   2.2   439   576  1040  1188  1029  1194 0.60 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7   7  13   6.8e-81   1.5e-77  260.0   4.2   568   736  1270  1445  1223  1449 0.86 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7   8  13   2.1e-09   4.6e-06   23.2   0.0   733   759  1479  1505  1472  1508 0.90 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7   9  13   1.2e-39   2.6e-36  123.4   3.3   758   840  1600  1683  1595  1693 0.93 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7  10  13   6.9e-80   1.5e-76  256.7   6.5   830   987  1766  1936  1761  1944 0.89 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7  11  13     2e-55   4.4e-52  175.6  15.9   977  1093  1998  2125  1990  2131 0.93 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7  12  13   1.1e-11   2.4e-08   30.8   8.6  1089  1136  2277  2324  2250  2333 0.79 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912900.1-p1   -           2424 565at5820            -           1203         0 1600.5 187.7  13  13   4.7e-36     1e-32  111.5  11.8  1119  1203  2334  2424  2329  2424 0.95 | transcript=PVP01_0912900.1 | gene=PVP01_0912900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_09_v2:595306-602580(+) | protein_length=2424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 565at5820            -           1203   1.2e-05   21.8   0.1   1   2      0.23     5e+02   -3.4   2.0   644   706     4    65     1   114 0.58 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 565at5820            -           1203   1.2e-05   21.8   0.1   2   2   5.7e-09   1.2e-05   21.8   0.1   777   855   223   299   212   313 0.83 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 565at5820            -           1203   0.00026   17.4   0.2   1   2      0.65   1.4e+03   -4.9   2.1   438   468  1097  1127  1086  1131 0.84 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 565at5820            -           1203   0.00026   17.4   0.2   2   2   1.2e-07   0.00026   17.4   0.2   779   831  1421  1473  1410  1490 0.88 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/565at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
