#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0526200.1-p1   -            191 12242at5820          -            175  1.8e-115  381.6   3.3   1   1  1.7e-117    6e-115  379.9   3.3     1   175     1   191     1   191 0.98 | transcript=PVP01_0526200.1 | gene=PVP01_0526200 | organism=Plasmodium_vivax_P01 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=PvP01_05_v2:1058972-1059963(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606100.1-p1   -            181 12242at5820          -            175     8e-30  102.6   0.1   1   1   2.6e-32     9e-30  102.5   0.1    22   173    23   176     4   178 0.93 | transcript=PVP01_0606100.1 | gene=PVP01_0606100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=PvP01_06_v2:245359-246687(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619800.1-p1   -            178 12242at5820          -            175   1.5e-23   82.3   0.0   1   1   5.3e-26   1.8e-23   81.9   0.0    22   171    23   174     4   177 0.92 | transcript=PVP01_0619800.1 | gene=PVP01_0619800 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_06_v2:806517-807053(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265000.1-p1   -            185 12242at5820          -            175   4.8e-20   70.8   0.0   1   1   1.6e-22   5.5e-20   70.6   0.0    17   170    13   173     1   177 0.83 | transcript=PVP01_1265000.1 | gene=PVP01_1265000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2704793-2705612(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463900.1-p1   -            261 12242at5820          -            175   2.6e-08   32.6   0.0   1   1   1.1e-10   3.9e-08   32.0   0.0    26   137    73   190    62   205 0.83 | transcript=PVP01_1463900.1 | gene=PVP01_1463900 | organism=Plasmodium_vivax_P01 | gene_product=signal recognition particle receptor subunit beta, putative | transcript_product=signal recognition particle receptor subunit beta, putative | location=PvP01_14_v2:2746065-2747351(+) | protein_length=261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112100.1-p1   -            203 12242at5820          -            175   7.1e-08   31.2   0.0   1   1   2.8e-10   9.8e-08   30.7   0.0    23   147    33   165    27   186 0.74 | transcript=PVP01_1112100.1 | gene=PVP01_1112100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_11_v2:501498-502541(-) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020100.1-p1   -            207 12242at5820          -            175   2.5e-07   29.4   0.0   1   1   1.1e-09   3.8e-07   28.8   0.0    27   132    23   132    16   154 0.74 | transcript=PVP01_1020100.1 | gene=PVP01_1020100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=PvP01_10_v2:874174-874797(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918300.1-p1   -            214 12242at5820          -            175   3.1e-07   29.1   0.0   1   1   1.1e-09   3.9e-07   28.8   0.0    27   136    20   132    13   168 0.82 | transcript=PVP01_0918300.1 | gene=PVP01_0918300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=PvP01_09_v2:809758-810578(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1021300.1-p1   -            200 12242at5820          -            175   4.7e-07   28.5   0.1   1   1   1.8e-09   6.1e-07   28.1   0.1    28   131    20   128    12   171 0.76 | transcript=PVP01_1021300.1 | gene=PVP01_1021300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=PvP01_10_v2:912112-913699(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718900.1-p1   -            191 12242at5820          -            175   1.5e-06   26.8   0.1   1   1   5.7e-09     2e-06   26.5   0.1    22   171    28   176     5   180 0.83 | transcript=PVP01_0718900.1 | gene=PVP01_0718900 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_07_v2:834565-835956(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417100.1-p1   -            207 12242at5820          -            175   1.3e-05   23.8   0.0   1   1   7.6e-08   2.6e-05   22.8   0.0    23   170    22   183    14   188 0.73 | transcript=PVP01_1417100.1 | gene=PVP01_1417100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_14_v2:749526-750672(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
