#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0411300.1-p1   -           2067 747at5820            -           1392         0 1821.9 119.1   1  11   8.7e-16   5.7e-12   42.5   2.2     1    38    10    47    10    53 0.94 | transcript=PVP01_0411300.1 | gene=PVP01_0411300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:459462-467425(+) | protein_length=2067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411300.1-p1   -           2067 747at5820            -           1392         0 1821.9 119.1   2  11   8.9e-22   5.8e-18   62.3   0.0    36   102   107   176   104   179 0.94 | transcript=PVP01_0411300.1 | gene=PVP01_0411300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:459462-467425(+) | protein_length=2067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411300.1-p1   -           2067 747at5820            -           1392         0 1821.9 119.1   3  11   1.2e-72   7.7e-69  230.9   0.0   103   268   216   399   214   410 0.87 | transcript=PVP01_0411300.1 | gene=PVP01_0411300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:459462-467425(+) | protein_length=2067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411300.1-p1   -           2067 747at5820            -           1392         0 1821.9 119.1   4  11   1.3e-10   8.8e-07   25.3   0.1   264   305   430   471   423   482 0.86 | transcript=PVP01_0411300.1 | gene=PVP01_0411300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:459462-467425(+) | protein_length=2067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411300.1-p1   -           2067 747at5820            -           1392         0 1821.9 119.1   5  11    4e-110  2.6e-106  355.1   4.1   306   600   528   896   522   901 0.85 | transcript=PVP01_0411300.1 | gene=PVP01_0411300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:459462-467425(+) | protein_length=2067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411300.1-p1   -           2067 747at5820            -           1392         0 1821.9 119.1   6  11     0.022   1.4e+02   -1.9   0.1   600   618   940   958   939   962 0.87 | transcript=PVP01_0411300.1 | gene=PVP01_0411300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:459462-467425(+) | protein_length=2067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411300.1-p1   -           2067 747at5820            -           1392         0 1821.9 119.1   7  11     8e-21   5.2e-17   59.2   0.0   616   702   983  1088   964  1090 0.80 | transcript=PVP01_0411300.1 | gene=PVP01_0411300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:459462-467425(+) | protein_length=2067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411300.1-p1   -           2067 747at5820            -           1392         0 1821.9 119.1   8  11   0.00016       1.1    5.1   0.0   707   730  1171  1194  1160  1203 0.90 | transcript=PVP01_0411300.1 | gene=PVP01_0411300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:459462-467425(+) | protein_length=2067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411300.1-p1   -           2067 747at5820            -           1392         0 1821.9 119.1   9  11  4.8e-168  3.1e-164  547.0  26.1   729  1066  1256  1616  1250  1635 0.94 | transcript=PVP01_0411300.1 | gene=PVP01_0411300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:459462-467425(+) | protein_length=2067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411300.1-p1   -           2067 747at5820            -           1392         0 1821.9 119.1  10  11  1.3e-152  8.5e-149  495.8  52.1  1075  1372  1660  1975  1648  1981 0.94 | transcript=PVP01_0411300.1 | gene=PVP01_0411300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:459462-467425(+) | protein_length=2067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411300.1-p1   -           2067 747at5820            -           1392         0 1821.9 119.1  11  11   7.6e-07     0.005   12.8   0.5  1368  1392  2043  2067  2029  2067 0.94 | transcript=PVP01_0411300.1 | gene=PVP01_0411300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:459462-467425(+) | protein_length=2067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
