#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1442500.1-p1   -            885 4121at5820           -            615         0 1236.1  91.3   1   3  1.7e-193  3.2e-191  635.6   6.6     1   273     1   273     1   276 1.00 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 4121at5820           -            615         0 1236.1  91.3   2   3  1.2e-128  2.4e-126  421.3  19.6   265   484   405   648   370   669 0.86 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 4121at5820           -            615         0 1236.1  91.3   3   3   2.6e-60     5e-58  195.7  27.6   463   615   727   885   713   885 0.78 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 4121at5820           -            615   1.3e-28   98.5   1.8   1   1   9.2e-31   1.8e-28   98.1   1.8    15   185    19   188     9   214 0.94 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 4121at5820           -            615     2e-25   88.0  11.9   1   3   8.8e-09   1.7e-06   25.4   1.0   193   257    18    80     6    98 0.88 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 4121at5820           -            615     2e-25   88.0  11.9   2   3   1.7e-10   3.3e-08   31.1   0.3   105   169   119   183   107   201 0.87 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 4121at5820           -            615     2e-25   88.0  11.9   3   3   1.5e-12   2.9e-10   37.9   0.6    94   185   198   288   186   299 0.85 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 4121at5820           -            615   9.9e-22   75.8   0.3   1   2   2.7e-13   5.1e-11   40.4   0.1   106   258    90   255    86   269 0.84 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 4121at5820           -            615   9.9e-22   75.8   0.3   2   2   5.1e-10   9.9e-08   29.5   0.0   104   184   372   451   360   471 0.78 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 4121at5820           -            615     2e-18   64.9   6.3   1   3   6.8e-08   1.3e-05   22.5   0.1   194   256    83   148    78   153 0.89 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 4121at5820           -            615     2e-18   64.9   6.3   2   3   1.1e-10   2.2e-08   31.7   0.5   192   259   179   248   160   263 0.84 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
