#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1458200.1-p1   -            472 5518at5820           -            411  3.9e-262  867.5  21.1   1   1  9.9e-265  4.6e-262  867.3  21.1     1   411    11   451    11   451 0.95 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 5518at5820           -            411   9.2e-16   56.0   9.2   1   3   8.1e-09   3.8e-06   24.3   1.7   210   288   284   363   277   369 0.91 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 5518at5820           -            411   9.2e-16   56.0   9.2   2   3   9.4e-11   4.4e-08   30.7   0.0   210   282   368   441   364   452 0.89 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 5518at5820           -            411   9.2e-16   56.0   9.2   3   3     0.015       7.1    3.7   0.3   119   218   488   590   463   593 0.74 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 5518at5820           -            411   8.3e-14   49.6  12.0   1   3     5e-08   2.3e-05   21.7   0.1   206   301   121   216   102   230 0.79 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 5518at5820           -            411   8.3e-14   49.6  12.0   2   3    0.0053       2.5    5.2   1.0   248   292   367   415   341   453 0.61 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 5518at5820           -            411   8.3e-14   49.6  12.0   3   3   6.4e-10     3e-07   28.0   1.1   217   366   505   660   492   660 0.70 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 5518at5820           -            411   2.5e-12   44.7  15.3   1   3     0.045        21    2.1   0.3   303   346   254   297   238   325 0.72 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 5518at5820           -            411   2.5e-12   44.7  15.3   2   3   3.2e-06    0.0015   15.8   0.0   244   315   426   496   421   499 0.78 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 5518at5820           -            411   2.5e-12   44.7  15.3   3   3   2.2e-10     1e-07   29.5   7.9   187   291   498   604   493   633 0.82 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 5518at5820           -            411   7.8e-11   39.8   1.9   1   2     0.064        30    1.6   0.0   219   238   184   203   174   212 0.84 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 5518at5820           -            411   7.8e-11   39.8   1.9   2   2   2.6e-12   1.2e-09   35.8   1.6   206   317   287   399   269   457 0.80 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 5518at5820           -            411   7.8e-10   36.5   8.5   1   2   1.3e-07   5.9e-05   20.4   3.9   242   365    64   186    26   190 0.60 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 5518at5820           -            411   7.8e-10   36.5   8.5   2   2   3.7e-06    0.0017   15.6   0.1   210   322   203   318   193   322 0.78 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 5518at5820           -            411     4e-09   34.2   4.3   1   2     0.052        24    1.9   0.1   295   366   216   284   209   307 0.81 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 5518at5820           -            411     4e-09   34.2   4.3   2   2   2.2e-10     1e-07   29.5   1.2   214   365   350   498   319   498 0.76 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 5518at5820           -            411   1.3e-08   32.4   4.8   1   3      0.21        98   -0.1   0.1   245   279    33    68    26    99 0.49 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 5518at5820           -            411   1.3e-08   32.4   4.8   2   3   4.2e-07   0.00019   18.7   1.8   221   289    94   162    78   193 0.83 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 5518at5820           -            411   1.3e-08   32.4   4.8   3   3   4.7e-05     0.022   11.9   0.0   207   289   204   285   199   321 0.62 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 5518at5820           -            411   7.3e-08   30.0   8.9   1   2   2.3e-06    0.0011   16.3   3.9   193   279   344   428   289   435 0.79 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 5518at5820           -            411   7.3e-08   30.0   8.9   2   2   4.5e-08   2.1e-05   21.9   0.6   222   333   412   526   410   546 0.82 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 5518at5820           -            411   7.6e-08   29.9   2.0   1   2     0.082        38    1.3   0.0   293   319   208   234   190   251 0.79 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 5518at5820           -            411   7.6e-08   29.9   2.0   2   2   2.1e-09   9.7e-07   26.3   0.9   203   277   323   401   315   410 0.85 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 5518at5820           -            411   8.5e-06   23.2   1.9   1   3      0.54   2.5e+02   -1.4   0.0   242   282   146   189   129   207 0.80 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 5518at5820           -            411   8.5e-06   23.2   1.9   2   3      0.15        70    0.4   0.1   262   319   220   279   210   284 0.42 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 5518at5820           -            411   8.5e-06   23.2   1.9   3   3   5.1e-08   2.4e-05   21.7   0.5   220   367   265   429   237   442 0.71 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0318300.1-p1   -            644 5518at5820           -            411   1.7e-05   22.2   1.5   1   3     0.091        43    1.1   0.0   259   371   196   301   190   308 0.66 | transcript=PVP01_0318300.1 | gene=PVP01_0318300 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=PvP01_03_v2:772270-774204(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
