#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9   1  14   7.3e-23   5.3e-20   69.5   3.8     1    75     1    76     1    91 0.79 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9   2  14  1.6e-135  1.2e-132  442.7  24.5    19   286    98   373    81   406 0.85 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9   3  14   0.00017      0.12    8.7   5.2   280   323   638   681   605   741 0.72 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9   4  14   1.8e-15   1.3e-12   45.1  14.3   312   370   877   936   830   957 0.78 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9   5  14   1.5e-05     0.011   12.1   4.1   353   402   955  1005   937  1044 0.77 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9   6  14   1.5e-71   1.1e-68  230.8   7.3   365   519  1083  1244  1061  1268 0.81 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9   7  14     4e-67   2.9e-64  216.2  13.9   513   651  1336  1476  1321  1547 0.80 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9   8  14         9   6.5e+03  -14.6  14.9   845   978  1690  1835  1682  1856 0.59 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9   9  14   1.7e-78   1.2e-75  253.9   3.1   680   842  1894  2065  1865  2079 0.85 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9  10  14    0.0081       5.9    3.1   0.0   822   842  2103  2123  2099  2133 0.83 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9  11  14    0.0012      0.87    5.9   1.1   841   866  2194  2219  2189  2266 0.88 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9  12  14   2.7e-23     2e-20   71.0   6.2   868   934  2282  2352  2269  2370 0.86 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9  13  14   2.4e-58   1.8e-55  187.0   3.7   919  1054  2434  2582  2420  2586 0.85 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9  14  14   7.6e-88   5.5e-85  284.8  23.9  1055  1231  2624  2827  2620  2827 0.87 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
