#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1230100.1-p1   -           1066 2802at5820           -            850         0 1335.5  24.7   1   2  8.5e-250  1.8e-246  819.0  14.9     1   505     5   570     5   578 0.91 | transcript=PVP01_1230100.1 | gene=PVP01_1230100 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_12_v2:1195941-1200272(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230100.1-p1   -           1066 2802at5820           -            850         0 1335.5  24.7   2   2    8e-159  1.7e-155  518.1   2.2   517   838   653  1025   635  1031 0.87 | transcript=PVP01_1230100.1 | gene=PVP01_1230100 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_12_v2:1195941-1200272(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340600.1-p1   -           1103 2802at5820           -            850   6.8e-46  155.5  63.5   1   4    0.0025       5.3    3.7   0.1    25    90     9    78     5    82 0.64 | transcript=PVP01_1340600.1 | gene=PVP01_1340600 | organism=Plasmodium_vivax_P01 | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=PvP01_13_v2:1779845-1783156(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340600.1-p1   -           1103 2802at5820           -            850   6.8e-46  155.5  63.5   2   4   7.2e-09   1.6e-05   22.0   4.7   147   259    82   203    76   209 0.64 | transcript=PVP01_1340600.1 | gene=PVP01_1340600 | organism=Plasmodium_vivax_P01 | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=PvP01_13_v2:1779845-1783156(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340600.1-p1   -           1103 2802at5820           -            850   6.8e-46  155.5  63.5   3   4   1.8e-13   3.9e-10   37.2   2.0   301   379   215   297   203   321 0.81 | transcript=PVP01_1340600.1 | gene=PVP01_1340600 | organism=Plasmodium_vivax_P01 | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=PvP01_13_v2:1779845-1783156(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340600.1-p1   -           1103 2802at5820           -            850   6.8e-46  155.5  63.5   4   4   4.8e-34     1e-30  105.3  37.5   419   840   391   814   358   823 0.76 | transcript=PVP01_1340600.1 | gene=PVP01_1340600 | organism=Plasmodium_vivax_P01 | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=PvP01_13_v2:1779845-1783156(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732800.1-p1   -           1031 2802at5820           -            850   2.1e-18   64.6  35.6   1   4     0.025        55    0.4   0.0    62    86    34    58    15    79 0.79 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732800.1-p1   -           1031 2802at5820           -            850   2.1e-18   64.6  35.6   2   4      0.18     4e+02   -2.5   0.0   183   206    69    91    58    98 0.80 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732800.1-p1   -           1031 2802at5820           -            850   2.1e-18   64.6  35.6   3   4   2.7e-06    0.0059   13.5  17.6   217   379   173   378   159   408 0.62 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732800.1-p1   -           1031 2802at5820           -            850   2.1e-18   64.6  35.6   4   4   1.4e-18   3.1e-15   54.1   6.5   535   816   710   972   702   999 0.84 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2802at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2802at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2802at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:56 2026
# [ok]
