#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1451200.1-p1   -            763 2989at5820           -            649         0 1307.0  27.7   1   2  8.3e-152  3.4e-149  496.7   4.5     1   266    38   339    38   343 0.94 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 2989at5820           -            649         0 1307.0  27.7   2   2    7e-246  2.9e-243  807.6  15.3   270   648   375   760   368   761 0.98 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 2989at5820           -            649  4.9e-118  393.8  28.2   1   3   4.5e-67   1.8e-64  216.8   5.9     2   262    97   383    96   396 0.83 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 2989at5820           -            649  4.9e-118  393.8  28.2   2   3   7.8e-34   3.2e-31  106.9   6.4   267   475   471   684   436   695 0.88 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 2989at5820           -            649  4.9e-118  393.8  28.2   3   3   5.3e-26   2.2e-23   81.1   1.0   478   648   748   919   740   920 0.94 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 2989at5820           -            649   2.4e-40  137.1   9.3   1   5   1.5e-32   5.9e-30  102.7   0.1     3   189    24   208    22   231 0.88 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 2989at5820           -            649   2.4e-40  137.1   9.3   2   5   3.9e-06    0.0016   15.4   0.0   191   250   285   350   273   368 0.84 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 2989at5820           -            649   2.4e-40  137.1   9.3   3   5    0.0032       1.3    5.8   0.1   270   344   448   522   442   533 0.86 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 2989at5820           -            649   2.4e-40  137.1   9.3   4   5    0.0017      0.69    6.7   0.5   368   455   656   747   646   791 0.76 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 2989at5820           -            649   2.4e-40  137.1   9.3   5   5   0.00071      0.29    8.0   0.1   505   638   970  1108   948  1110 0.72 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 2989at5820           -            649   1.9e-36  124.2   0.7   1   3   1.6e-21   6.6e-19   66.2   0.9     3   148    18   168    16   191 0.82 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 2989at5820           -            649   1.9e-36  124.2   0.7   2   3   5.6e-13   2.3e-10   38.0   0.1   315   452   421   564   411   596 0.76 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 2989at5820           -            649   1.9e-36  124.2   0.7   3   3     3e-06    0.0012   15.8   0.0   558   628   711   783   655   800 0.88 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
