#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0204500.1-p1   -           1501 2136at5820           -            816         0 1415.2  66.0   1   7   5.3e-68   1.7e-64  216.9   1.3     2   116     1   115     1   123 0.98 | transcript=PVP01_0204500.1 | gene=PVP01_0204500 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_02_v2:210931-216421(-) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204500.1-p1   -           1501 2136at5820           -            816         0 1415.2  66.0   2   7   8.9e-53   2.9e-49  166.6   3.9   114   213   167   266   158   280 0.88 | transcript=PVP01_0204500.1 | gene=PVP01_0204500 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_02_v2:210931-216421(-) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204500.1-p1   -           1501 2136at5820           -            816         0 1415.2  66.0   3   7   3.2e-05       0.1    9.3   0.3   207   239   289   322   275   327 0.86 | transcript=PVP01_0204500.1 | gene=PVP01_0204500 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_02_v2:210931-216421(-) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204500.1-p1   -           1501 2136at5820           -            816         0 1415.2  66.0   4   7   2.5e-09   8.1e-06   22.9   0.7   244   289   672   719   640   728 0.80 | transcript=PVP01_0204500.1 | gene=PVP01_0204500 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_02_v2:210931-216421(-) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204500.1-p1   -           1501 2136at5820           -            816         0 1415.2  66.0   5   7   9.9e-06     0.032   10.9   0.0   263   293   804   834   766   839 0.81 | transcript=PVP01_0204500.1 | gene=PVP01_0204500 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_02_v2:210931-216421(-) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204500.1-p1   -           1501 2136at5820           -            816         0 1415.2  66.0   6   7   6.2e-32     2e-28   97.6   0.4   293   362   902   973   899   976 0.94 | transcript=PVP01_0204500.1 | gene=PVP01_0204500 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_02_v2:210931-216421(-) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204500.1-p1   -           1501 2136at5820           -            816         0 1415.2  66.0   7   7  1.7e-279  5.5e-276  916.5  23.5   363   816  1030  1501  1025  1501 0.96 | transcript=PVP01_0204500.1 | gene=PVP01_0204500 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_02_v2:210931-216421(-) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255300.1-p1   -            177 2136at5820           -            816   1.4e-05   22.0   3.2   1   2   2.2e-07   0.00071   16.4   0.2    11    96     7    90     2   104 0.81 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255300.1-p1   -            177 2136at5820           -            816   1.4e-05   22.0   3.2   2   2   0.00021      0.67    6.6   0.7    70   138   101   169    93   175 0.73 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2136at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2136at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2136at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:10 2026
# [ok]
