#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1141200.1-p1   -            615 6270at5820           -            386  1.3e-182  605.6  24.7   1   4   0.00015      0.25    8.8   0.4     1    20    14    33    14    45 0.89 | transcript=PVP01_1141200.1 | gene=PVP01_1141200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:1744214-1746176(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141200.1-p1   -            615 6270at5820           -            386  1.3e-182  605.6  24.7   2   4   6.7e-59   1.1e-55  187.8   4.4    30   138    86   211    67   215 0.87 | transcript=PVP01_1141200.1 | gene=PVP01_1141200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:1744214-1746176(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141200.1-p1   -            615 6270at5820           -            386  1.3e-182  605.6  24.7   3   4   2.2e-81   3.5e-78  261.8   1.9   135   281   286   432   280   436 0.98 | transcript=PVP01_1141200.1 | gene=PVP01_1141200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:1744214-1746176(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141200.1-p1   -            615 6270at5820           -            386  1.3e-182  605.6  24.7   4   4   1.2e-49   1.9e-46  157.3   0.1   281   386   500   611   494   611 0.94 | transcript=PVP01_1141200.1 | gene=PVP01_1141200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:1744214-1746176(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510000.1-p1   -            747 6270at5820           -            386   5.6e-14   50.4  10.7   1   3   0.00028      0.46    7.9   4.9    45   150   258   354   242   357 0.68 | transcript=PVP01_0510000.1 | gene=PVP01_0510000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=PvP01_05_v2:442521-444764(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510000.1-p1   -            747 6270at5820           -            386   5.6e-14   50.4  10.7   2   3   1.8e-09   2.9e-06   25.0   0.2   167   251   342   426   330   441 0.89 | transcript=PVP01_0510000.1 | gene=PVP01_0510000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=PvP01_05_v2:442521-444764(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510000.1-p1   -            747 6270at5820           -            386   5.6e-14   50.4  10.7   3   3   1.2e-08   1.9e-05   22.3   0.1   300   381   573   655   571   658 0.92 | transcript=PVP01_0510000.1 | gene=PVP01_0510000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=PvP01_05_v2:442521-444764(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 6270at5820           -            386   2.4e-05   22.0   0.6   1   2    0.0038       6.1    4.2   0.0   233   276   107   156   104   165 0.68 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 6270at5820           -            386   2.4e-05   22.0   0.6   2   2   1.5e-06    0.0024   15.4   0.1   326   379   331   383   322   389 0.77 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526200.1-p1   -            191 6270at5820           -            386     0.019   12.5   0.0   1   1   1.5e-05     0.024   12.2   0.0   232   336    22   132    16   172 0.76 | transcript=PVP01_0526200.1 | gene=PVP01_0526200 | organism=Plasmodium_vivax_P01 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=PvP01_05_v2:1058972-1059963(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6270at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6270at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6270at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:45 2026
# [ok]
