#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0916300.1-p1   -            240 11393at5820          -            175  5.2e-105  347.6   7.7   1   1  1.4e-107  6.7e-105  347.3   7.7    13   174    78   239    72   240 0.98 | transcript=PVP01_0916300.1 | gene=PVP01_0916300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_09_v2:734537-735740(+) | protein_length=240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 11393at5820          -            175   1.2e-09   37.2   3.2   1   3   3.4e-05     0.016   13.9   0.2   114   169   407   462   372   472 0.74 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 11393at5820          -            175   1.2e-09   37.2   3.2   2   3   1.7e-05     0.008   14.9   0.0    63   104   620   661   607   678 0.88 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 11393at5820          -            175   1.2e-09   37.2   3.2   3   3     0.013       6.2    5.5   0.0   118   171   776   832   715   836 0.86 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017200.1-p1   -           2442 11393at5820          -            175   7.1e-08   31.4   8.8   1   2   6.6e-07   0.00031   19.5   0.7    62   115  1039  1094  1012  1110 0.79 | transcript=PVP01_1017200.1 | gene=PVP01_1017200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=PvP01_10_v2:762252-769580(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017200.1-p1   -           2442 11393at5820          -            175   7.1e-08   31.4   8.8   2   2   8.2e-06    0.0038   15.9   0.7    63   120  1939  1997  1928  2011 0.82 | transcript=PVP01_1017200.1 | gene=PVP01_1017200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=PvP01_10_v2:762252-769580(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457300.1-p1   -           2442 11393at5820          -            175   1.2e-06   27.3   0.6   1   2   1.9e-06   0.00089   18.0   0.0   124   169  2106  2151  2095  2157 0.90 | transcript=PVP01_1457300.1 | gene=PVP01_1457300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:2489178-2496506(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457300.1-p1   -           2442 11393at5820          -            175   1.2e-06   27.3   0.6   2   2    0.0052       2.4    6.8   0.1   125   170  2206  2253  2159  2264 0.72 | transcript=PVP01_1457300.1 | gene=PVP01_1457300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:2489178-2496506(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1440600.1-p1   -           2905 11393at5820          -            175   3.2e-05   22.7   0.4   1   1   1.7e-07   7.9e-05   21.4   0.4   111   172  1907  1968  1895  1971 0.90 | transcript=PVP01_1440600.1 | gene=PVP01_1440600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:1732548-1741265(+) | protein_length=2905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303400.1-p1   -           3545 11393at5820          -            175   0.00055   18.7   4.2   1   2   2.4e-05     0.011   14.4   0.6    67   107   906   947   883   954 0.83 | transcript=PVP01_0303400.1 | gene=PVP01_0303400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=PvP01_03_v2:171877-182656(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303400.1-p1   -           3545 11393at5820          -            175   0.00055   18.7   4.2   2   2     0.028        13    4.5   0.2   124   172  1907  1951  1894  1957 0.83 | transcript=PVP01_0303400.1 | gene=PVP01_0303400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=PvP01_03_v2:171877-182656(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016100.1-p1   -           1427 11393at5820          -            175   0.00083   18.1  10.1   1   4     0.087        41    2.8   0.0   129   166   343   379   324   387 0.83 | transcript=PVP01_1016100.1 | gene=PVP01_1016100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_10_v2:717661-721944(+) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016100.1-p1   -           1427 11393at5820          -            175   0.00083   18.1  10.1   2   4    0.0064         3    6.5   0.0    72   103   815   846   808   869 0.86 | transcript=PVP01_1016100.1 | gene=PVP01_1016100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_10_v2:717661-721944(+) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016100.1-p1   -           1427 11393at5820          -            175   0.00083   18.1  10.1   3   4       2.9   1.3e+03   -2.1   0.1    41    83   959  1003   946  1027 0.64 | transcript=PVP01_1016100.1 | gene=PVP01_1016100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_10_v2:717661-721944(+) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016100.1-p1   -           1427 11393at5820          -            175   0.00083   18.1  10.1   4   4    0.0005      0.23   10.1   2.8    48    95  1044  1093  1033  1111 0.82 | transcript=PVP01_1016100.1 | gene=PVP01_1016100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_10_v2:717661-721944(+) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320200.1-p1   -            817 11393at5820          -            175    0.0015   17.2   0.7   1   1   6.2e-06    0.0029   16.3   0.7    66   108    59   101    24   122 0.70 | transcript=PVP01_1320200.1 | gene=PVP01_1320200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=PvP01_13_v2:919162-921615(+) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418100.1-p1   -           2530 11393at5820          -            175    0.0035   16.1   0.3   1   1   1.9e-05    0.0087   14.8   0.3    63   120  1247  1302  1243  1308 0.88 | transcript=PVP01_1418100.1 | gene=PVP01_1418100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-FG, putative | transcript_product=AP2 domain transcription factor AP2-FG, putative | location=PvP01_14_v2:797432-805024(+) | protein_length=2530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0943800.1-p1   -           1928 11393at5820          -            175    0.0051   15.5   0.4   1   1   3.1e-05     0.014   14.1   0.4    90   168  1793  1878  1782  1886 0.68 | transcript=PVP01_0943800.1 | gene=PVP01_0943800 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O, putative | transcript_product=AP2 domain transcription factor AP2-O, putative | location=PvP01_09_v2:1929046-1934832(-) | protein_length=1928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118100.1-p1   -           2597 11393at5820          -            175     0.011   14.4   0.0   1   1   4.5e-05     0.021   13.5   0.0   124   168  2542  2586  2528  2597 0.71 | transcript=PVP01_0118100.1 | gene=PVP01_0118100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-LT, putative | transcript_product=AP2 domain transcription factor AP2-LT, putative | location=PvP01_01_v2:812732-820663(+) | protein_length=2597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
