#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1116800.1-p1   -            944 1917at5820           -            794         0 1718.1  34.1   1   3   1.3e-06    0.0011   15.6   0.1     1    22     1    22     1    38 0.83 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 1917at5820           -            794         0 1718.1  34.1   2   3         0         0 1531.2  15.0    19   687    66   773    53   793 0.96 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 1917at5820           -            794         0 1718.1  34.1   3   3   3.7e-55     3e-52  176.1   7.5   680   794   803   939   795   939 0.90 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105600.1-p1   -            832 1917at5820           -            794   3.4e-91  304.9   4.5   1   2   1.8e-13   1.5e-10   38.3   0.1   139   272   206   341   195   369 0.81 | transcript=PVP01_0105600.1 | gene=PVP01_0105600 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=PvP01_01_v2:296834-299332(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105600.1-p1   -            832 1917at5820           -            794   3.4e-91  304.9   4.5   2   2   1.1e-82   8.7e-80  267.2   1.9   345   717   371   761   359   794 0.84 | transcript=PVP01_0105600.1 | gene=PVP01_0105600 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=PvP01_01_v2:296834-299332(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310900.1-p1   -            758 1917at5820           -            794   3.7e-91  304.8   1.1   1   2     1e-06   0.00085   15.9   0.0   212   268   255   311   231   322 0.87 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310900.1-p1   -            758 1917at5820           -            794   3.7e-91  304.8   1.1   2   2   1.5e-88   1.2e-85  286.6   1.3   333   677   337   679   331   689 0.87 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 1917at5820           -            794   8.5e-85  283.8   6.6   1   2   3.4e-19   2.8e-16   57.2   0.4    32   278   189   444   169   448 0.75 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 1917at5820           -            794   8.5e-85  283.8   6.6   2   2   9.1e-69   7.4e-66  221.1   1.3   341   671   464   841   449   858 0.79 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418000.1-p1   -            955 1917at5820           -            794   2.2e-79  265.9   9.9   1   2   1.5e-78   1.3e-75  253.4   3.6   130   572   258   699   233   716 0.80 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418000.1-p1   -            955 1917at5820           -            794   2.2e-79  265.9   9.9   2   2   3.9e-06    0.0031   14.0   0.3   584   705   770   896   746   935 0.70 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
