#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1112600.1-p1   -           1000 1945at5820           -            869         0 1663.1  57.3   1   2  9.2e-104    2e-100  335.9  29.2     1   207     3   234     3   244 0.92 | transcript=PVP01_1112600.1 | gene=PVP01_1112600 | organism=Plasmodium_vivax_P01 | gene_product=exosome complex exonuclease RRP44, putative | transcript_product=exosome complex exonuclease RRP44, putative | location=PvP01_11_v2:541143-544145(-) | protein_length=1000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112600.1-p1   -           1000 1945at5820           -            869         0 1663.1  57.3   2   2         0         0 1332.7  20.1   201   869   253  1000   246  1000 0.97 | transcript=PVP01_1112600.1 | gene=PVP01_1112600 | organism=Plasmodium_vivax_P01 | gene_product=exosome complex exonuclease RRP44, putative | transcript_product=exosome complex exonuclease RRP44, putative | location=PvP01_11_v2:541143-544145(-) | protein_length=1000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133700.1-p1   -           2674 1945at5820           -            869     3e-40  136.8  37.1   1   3   3.4e-17   7.4e-14   49.5   9.7   204   443  1438  1723  1423  1749 0.78 | transcript=PVP01_1133700.1 | gene=PVP01_1133700 | organism=Plasmodium_vivax_P01 | gene_product=ribonuclease, putative | transcript_product=ribonuclease, putative | location=PvP01_11_v2:1443472-1452948(+) | protein_length=2674 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133700.1-p1   -           2674 1945at5820           -            869     3e-40  136.8  37.1   2   3   1.6e-19   3.4e-16   57.2   0.9   443   540  2019  2118  1983  2137 0.88 | transcript=PVP01_1133700.1 | gene=PVP01_1133700 | organism=Plasmodium_vivax_P01 | gene_product=ribonuclease, putative | transcript_product=ribonuclease, putative | location=PvP01_11_v2:1443472-1452948(+) | protein_length=2674 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133700.1-p1   -           2674 1945at5820           -            869     3e-40  136.8  37.1   3   3     2e-14   4.3e-11   40.3  11.5   599   744  2357  2505  2287  2516 0.71 | transcript=PVP01_1133700.1 | gene=PVP01_1133700 | organism=Plasmodium_vivax_P01 | gene_product=ribonuclease, putative | transcript_product=ribonuclease, putative | location=PvP01_11_v2:1443472-1452948(+) | protein_length=2674 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704500.1-p1   -           1767 1945at5820           -            869   3.3e-31  106.9  21.7   1   4      0.03        66    0.0   0.9   214   302   380   489   353   495 0.51 | transcript=PVP01_0704500.1 | gene=PVP01_0704500 | organism=Plasmodium_vivax_P01 | gene_product=exoribonuclease II, putative | transcript_product=exoribonuclease II, putative | location=PvP01_07_v2:274073-279510(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704500.1-p1   -           1767 1945at5820           -            869   3.3e-31  106.9  21.7   2   4      0.25   5.4e+02   -3.0   0.0   340   368   601   629   594   646 0.86 | transcript=PVP01_0704500.1 | gene=PVP01_0704500 | organism=Plasmodium_vivax_P01 | gene_product=exoribonuclease II, putative | transcript_product=exoribonuclease II, putative | location=PvP01_07_v2:274073-279510(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704500.1-p1   -           1767 1945at5820           -            869   3.3e-31  106.9  21.7   3   4   5.8e-25   1.3e-21   75.2   0.1   410   519   750   869   728   941 0.83 | transcript=PVP01_0704500.1 | gene=PVP01_0704500 | organism=Plasmodium_vivax_P01 | gene_product=exoribonuclease II, putative | transcript_product=exoribonuclease II, putative | location=PvP01_07_v2:274073-279510(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704500.1-p1   -           1767 1945at5820           -            869   3.3e-31  106.9  21.7   4   4   4.6e-14     1e-10   39.1   8.2   589   745  1092  1248  1048  1292 0.67 | transcript=PVP01_0704500.1 | gene=PVP01_0704500 | organism=Plasmodium_vivax_P01 | gene_product=exoribonuclease II, putative | transcript_product=exoribonuclease II, putative | location=PvP01_07_v2:274073-279510(-) | protein_length=1767 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1945at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1945at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1945at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:26 2026
# [ok]
