#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1255100.1-p1   -            994 2334at5820           -            693         0 1272.6  57.0   1   5  3.7e-177  1.2e-173  577.6  24.4     1   304     1   317     1   330 0.96 | transcript=PVP01_1255100.1 | gene=PVP01_1255100 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=PvP01_12_v2:2255047-2258031(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255100.1-p1   -            994 2334at5820           -            693         0 1272.6  57.0   2   5   1.4e-08   4.7e-05   20.3   0.1   294   347   343   410   337   430 0.71 | transcript=PVP01_1255100.1 | gene=PVP01_1255100 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=PvP01_12_v2:2255047-2258031(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255100.1-p1   -            994 2334at5820           -            693         0 1272.6  57.0   3   5   6.8e-10   2.2e-06   24.7   0.1   347   375   501   529   488   546 0.90 | transcript=PVP01_1255100.1 | gene=PVP01_1255100 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=PvP01_12_v2:2255047-2258031(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255100.1-p1   -            994 2334at5820           -            693         0 1272.6  57.0   4   5  6.9e-122  2.3e-118  394.9   6.5   371   579   594   810   582   816 0.94 | transcript=PVP01_1255100.1 | gene=PVP01_1255100 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=PvP01_12_v2:2255047-2258031(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255100.1-p1   -            994 2334at5820           -            693         0 1272.6  57.0   5   5   9.7e-85   3.1e-81  272.1   1.9   573   693   871   991   856   991 0.98 | transcript=PVP01_1255100.1 | gene=PVP01_1255100 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=PvP01_12_v2:2255047-2258031(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 2334at5820           -            693   1.9e-11   41.5  47.9   1   4   4.8e-09   1.6e-05   21.9   9.0    32   250    30   257     1   268 0.57 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 2334at5820           -            693   1.9e-11   41.5  47.9   2   4   0.00011      0.35    7.5   0.0   258   296   299   337   287   359 0.84 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 2334at5820           -            693   1.9e-11   41.5  47.9   3   4     1e-12   3.3e-09   34.1   9.8   463   671   851  1068   842  1082 0.84 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 2334at5820           -            693   1.9e-11   41.5  47.9   4   4         2   6.5e+03   -9.7  10.4     8    70  1125  1186  1119  1213 0.62 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2334at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2334at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2334at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:14 2026
# [ok]
