#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1317100.1-p1   -           1494 1634at5820           -           1163         0 1773.2 109.3   1   4    7e-282  3.8e-279  927.8  46.7     1   535     6   595     6   598 0.94 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 1634at5820           -           1163         0 1773.2 109.3   2   4   7.1e-18   3.8e-15   53.5   3.2   522   590   644   715   636   731 0.84 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 1634at5820           -           1163         0 1773.2 109.3   3   4   1.1e-48   6.2e-46  155.5   0.6   604   729   773   912   767   917 0.93 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 1634at5820           -           1163         0 1773.2 109.3   4   4  1.1e-197  5.8e-195  649.0  36.4   740  1146   974  1394   949  1402 0.94 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 1634at5820           -           1163     2e-21   74.2  46.2   1   3   4.5e-08   2.4e-05   21.0  13.1   751   819    27    98    16   102 0.84 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 1634at5820           -           1163     2e-21   74.2  46.2   2   3   5.5e-11     3e-08   30.7   5.7    39   101    99   161    96   166 0.95 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 1634at5820           -           1163     2e-21   74.2  46.2   3   3   3.5e-12   1.9e-09   34.6  13.1  1007  1132   166   300   162   305 0.84 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947100.1-p1   -            340 1634at5820           -           1163   1.4e-15   55.0  49.3   1   3     2e-13   1.1e-10   38.7   9.1   103   184   119   201    94   204 0.87 | transcript=PVP01_0947100.1 | gene=PVP01_0947100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_09_v2:2048173-2049195(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947100.1-p1   -            340 1634at5820           -           1163   1.4e-15   55.0  49.3   2   3   3.8e-10   2.1e-07   27.9  13.7  1008  1102   171   265   171   270 0.91 | transcript=PVP01_0947100.1 | gene=PVP01_0947100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_09_v2:2048173-2049195(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947100.1-p1   -            340 1634at5820           -           1163   1.4e-15   55.0  49.3   3   3   2.1e-06    0.0012   15.4  10.4    88   156   215   282   208   313 0.65 | transcript=PVP01_0947100.1 | gene=PVP01_0947100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_09_v2:2048173-2049195(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 1634at5820           -           1163     5e-11   39.8  18.0   1   2   1.5e-13   7.9e-11   39.2  10.3    59   181    27   148    16   169 0.82 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
