#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1109600.1-p1   -           2127 2102at5820           -           1057         0 2037.0  91.9   1   7   9.2e-06      0.03   10.5   2.9     1    55     1    56     1    76 0.67 | transcript=PVP01_1109600.1 | gene=PVP01_1109600 | organism=Plasmodium_vivax_P01 | gene_product=calpain, putative | transcript_product=calpain, putative | location=PvP01_11_v2:380531-386914(-) | protein_length=2127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1109600.1-p1   -           2127 2102at5820           -           1057         0 2037.0  91.9   2   7   5.8e-08   0.00019   17.8   0.4    22    63   196   237   188   261 0.76 | transcript=PVP01_1109600.1 | gene=PVP01_1109600 | organism=Plasmodium_vivax_P01 | gene_product=calpain, putative | transcript_product=calpain, putative | location=PvP01_11_v2:380531-386914(-) | protein_length=2127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1109600.1-p1   -           2127 2102at5820           -           1057         0 2037.0  91.9   3   7   3.6e-55   1.2e-51  174.1   3.1    47   149   290   392   268   429 0.85 | transcript=PVP01_1109600.1 | gene=PVP01_1109600 | organism=Plasmodium_vivax_P01 | gene_product=calpain, putative | transcript_product=calpain, putative | location=PvP01_11_v2:380531-386914(-) | protein_length=2127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1109600.1-p1   -           2127 2102at5820           -           1057         0 2037.0  91.9   4   7   1.8e-06    0.0059   12.8   0.4   146   186   516   557   504   574 0.83 | transcript=PVP01_1109600.1 | gene=PVP01_1109600 | organism=Plasmodium_vivax_P01 | gene_product=calpain, putative | transcript_product=calpain, putative | location=PvP01_11_v2:380531-386914(-) | protein_length=2127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1109600.1-p1   -           2127 2102at5820           -           1057         0 2037.0  91.9   5   7  7.8e-163  2.6e-159  530.5   9.5   181   424   969  1212   929  1251 0.91 | transcript=PVP01_1109600.1 | gene=PVP01_1109600 | organism=Plasmodium_vivax_P01 | gene_product=calpain, putative | transcript_product=calpain, putative | location=PvP01_11_v2:380531-386914(-) | protein_length=2127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1109600.1-p1   -           2127 2102at5820           -           1057         0 2037.0  91.9   6   7  3.9e-199  1.3e-195  650.7  12.9   411   721  1412  1731  1390  1736 0.92 | transcript=PVP01_1109600.1 | gene=PVP01_1109600 | organism=Plasmodium_vivax_P01 | gene_product=calpain, putative | transcript_product=calpain, putative | location=PvP01_11_v2:380531-386914(-) | protein_length=2127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1109600.1-p1   -           2127 2102at5820           -           1057         0 2037.0  91.9   7   7  5.6e-206  1.8e-202  673.4  19.3   717  1057  1772  2124  1764  2124 0.96 | transcript=PVP01_1109600.1 | gene=PVP01_1109600 | organism=Plasmodium_vivax_P01 | gene_product=calpain, putative | transcript_product=calpain, putative | location=PvP01_11_v2:380531-386914(-) | protein_length=2127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1104900.1-p1   -            462 2102at5820           -           1057      0.19    7.8   9.9   1   2     1e-06    0.0033   13.7   2.4   147   231    65   149    36   174 0.88 | transcript=PVP01_1104900.1 | gene=PVP01_1104900 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=PvP01_11_v2:193441-194829(-) | protein_length=462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1104900.1-p1   -            462 2102at5820           -           1057      0.19    7.8   9.9   2   2     0.074   2.4e+02   -2.4   0.9    34    62   203   232   197   252 0.73 | transcript=PVP01_1104900.1 | gene=PVP01_1104900 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=PvP01_11_v2:193441-194829(-) | protein_length=462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2102at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2102at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2102at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:01 2026
# [ok]
