#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0939400.1-p1   -           3979 100at5820            -           2613         0 5130.6 234.4   1  10  5.8e-271  6.3e-268  890.8  33.1     1   452    52   511    52   538 0.97 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 100at5820            -           2613         0 5130.6 234.4   2  10     1e-31   1.1e-28   97.2   2.6   457   551   674   776   641   798 0.66 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 100at5820            -           2613         0 5130.6 234.4   3  10   3.1e-47   3.3e-44  148.6   9.2   522   650  1006  1141   990  1188 0.81 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 100at5820            -           2613         0 5130.6 234.4   4  10    0.0003      0.32    6.0  14.7   633   688  1248  1303  1190  1337 0.68 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 100at5820            -           2613         0 5130.6 234.4   5  10   1.3e-66   1.4e-63  212.9   0.5   684   805  1399  1520  1377  1528 0.93 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 100at5820            -           2613         0 5130.6 234.4   6  10         0         0 1184.5  39.6   789  1341  1625  2184  1620  2200 0.98 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 100at5820            -           2613         0 5130.6 234.4   7  10  3.3e-302  3.6e-299  994.5  20.5  1339  1794  2465  2934  2452  2941 0.97 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 100at5820            -           2613         0 5130.6 234.4   8  10    7e-135  7.6e-132  439.4  13.4  1792  2049  2984  3263  2972  3278 0.92 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 100at5820            -           2613         0 5130.6 234.4   9  10   1.9e-25   2.1e-22   76.3  10.9  2041  2108  3288  3357  3272  3363 0.92 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 100at5820            -           2613         0 5130.6 234.4  10  10         0         0 1134.1  20.1  2108  2597  3441  3931  3426  3939 0.98 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111400.1-p1   -           3142 100at5820            -           2613    7e-175  582.1 174.9   1   6   1.2e-36   1.3e-33  113.5  22.5    19   373    31   375    18   384 0.86 | transcript=PVP01_1111400.1 | gene=PVP01_1111400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=PvP01_11_v2:469108-481114(-) | protein_length=3142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111400.1-p1   -           3142 100at5820            -           2613    7e-175  582.1 174.9   2   6      0.13   1.4e+02   -2.8  16.6   656   919   593   848   384   854 0.77 | transcript=PVP01_1111400.1 | gene=PVP01_1111400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=PvP01_11_v2:469108-481114(-) | protein_length=3142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111400.1-p1   -           3142 100at5820            -           2613    7e-175  582.1 174.9   3   6   1.1e-14   1.2e-11   40.6  33.9   929  1245   893  1202   877  1259 0.82 | transcript=PVP01_1111400.1 | gene=PVP01_1111400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=PvP01_11_v2:469108-481114(-) | protein_length=3142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111400.1-p1   -           3142 100at5820            -           2613    7e-175  582.1 174.9   4   6   1.1e-28   1.2e-25   87.1  35.5  1454  1785  1337  1697  1293  1700 0.69 | transcript=PVP01_1111400.1 | gene=PVP01_1111400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=PvP01_11_v2:469108-481114(-) | protein_length=3142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
