#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1010900.1-p1   -           1464 1030at5820           -           1196         0 2339.0  94.8   1   5  3.1e-276  1.7e-273  909.2  24.4     1   454    19   498    19   505 0.97 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 1030at5820           -           1196         0 2339.0  94.8   2   5   9.4e-74   5.1e-71  238.5   5.8   440   579   534   678   522   698 0.88 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 1030at5820           -           1196         0 2339.0  94.8   3   5   1.3e-17   7.1e-15   52.6   7.1   561   609   698   746   690   769 0.77 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 1030at5820           -           1196         0 2339.0  94.8   4   5  9.9e-229  5.4e-226  751.8  24.6   606  1000   797  1229   776  1239 0.93 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 1030at5820           -           1196         0 2339.0  94.8   5   5  7.5e-125  4.1e-122  407.8   2.1  1002  1196  1269  1464  1265  1464 0.99 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259100.1-p1   -           1564 1030at5820           -           1196   4.8e-56  188.9  21.4   1   1   1.3e-58   7.1e-56  188.4  21.4    61   597   388   934   331   956 0.73 | transcript=PVP01_1259100.1 | gene=PVP01_1259100 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 2, putative, multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=PvP01_12_v2:2441482-2446176(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202700.1-p1   -            998 1030at5820           -           1196   1.7e-35  120.8   5.9   1   2      0.15        82   -0.6  33.8     5   348   303   676   299   693 0.71 | transcript=PVP01_1202700.1 | gene=PVP01_1202700 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=PvP01_12_v2:113144-116140(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202700.1-p1   -            998 1030at5820           -           1196   1.7e-35  120.8   5.9   2   2   3.2e-38   1.7e-35  120.8   5.9   351   562   769   970   761   996 0.88 | transcript=PVP01_1202700.1 | gene=PVP01_1202700 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=PvP01_12_v2:113144-116140(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 1030at5820           -           1196   1.1e-32  111.5  24.3   1   3   4.6e-05     0.025   11.0  12.4   605   914   203   527   180   568 0.67 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 1030at5820           -           1196   1.1e-32  111.5  24.3   2   3   1.3e-15   7.2e-13   45.9   0.2   357   461   617   724   606   758 0.85 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 1030at5820           -           1196   1.1e-32  111.5  24.3   3   3   1.9e-20     1e-17   62.0   0.4   443   560   774   889   761   898 0.84 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 1030at5820           -           1196   3.9e-31  106.4   6.2   1   2      0.06        33    0.7  22.2    38   328   211   499   175   519 0.71 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 1030at5820           -           1196   3.9e-31  106.4   6.2   2   2   7.1e-34   3.9e-31  106.4   6.2   339   559   557   773   550   779 0.91 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
