#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0514900.1-p1   -            705 4437at5820           -            479  7.1e-241  798.9  10.7   1   3   1.3e-80   1.7e-77  260.2   0.6     1   146    61   207    61   218 0.97 | transcript=PVP01_0514900.1 | gene=PVP01_0514900 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=PvP01_05_v2:624238-626355(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514900.1-p1   -            705 4437at5820           -            479  7.1e-241  798.9  10.7   2   3   2.6e-26   3.5e-23   81.0   0.0   144   198   228   287   220   298 0.86 | transcript=PVP01_0514900.1 | gene=PVP01_0514900 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=PvP01_05_v2:624238-626355(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514900.1-p1   -            705 4437at5820           -            479  7.1e-241  798.9  10.7   3   3    9e-140  1.2e-136  455.2   4.5   198   479   359   691   356   691 0.88 | transcript=PVP01_0514900.1 | gene=PVP01_0514900 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=PvP01_05_v2:624238-626355(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308000.1-p1   -            843 4437at5820           -            479   1.3e-26   92.3   6.9   1   2   4.4e-13   5.7e-10   37.5   0.2     7   184   248   465   245   490 0.67 | transcript=PVP01_0308000.1 | gene=PVP01_0308000 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=PvP01_03_v2:385950-389878(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308000.1-p1   -            843 4437at5820           -            479   1.3e-26   92.3   6.9   2   2   5.6e-18   7.4e-15   53.6   2.0   200   434   510   763   475   783 0.74 | transcript=PVP01_0308000.1 | gene=PVP01_0308000 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=PvP01_03_v2:385950-389878(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515100.1-p1   -            662 4437at5820           -            479   6.9e-19   66.9   8.2   1   4    0.0022       2.9    5.5   0.0     2    41    44    83    43    91 0.88 | transcript=PVP01_0515100.1 | gene=PVP01_0515100 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=PvP01_05_v2:630543-632531(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515100.1-p1   -            662 4437at5820           -            479   6.9e-19   66.9   8.2   2   4    0.0038         5    4.7   0.1    47   116   117   184    94   204 0.78 | transcript=PVP01_0515100.1 | gene=PVP01_0515100 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=PvP01_05_v2:630543-632531(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515100.1-p1   -            662 4437at5820           -            479   6.9e-19   66.9   8.2   3   4   7.9e-08    0.0001   20.1   0.0   143   180   235   272   231   287 0.85 | transcript=PVP01_0515100.1 | gene=PVP01_0515100 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=PvP01_05_v2:630543-632531(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515100.1-p1   -            662 4437at5820           -            479   6.9e-19   66.9   8.2   4   4   2.7e-13   3.5e-10   38.2   0.5   203   418   344   576   338   585 0.75 | transcript=PVP01_0515100.1 | gene=PVP01_0515100 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=PvP01_05_v2:630543-632531(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435500.1-p1   -           1104 4437at5820           -            479   1.7e-18   65.6  22.1   1   2   0.00016      0.21    9.2   0.1     6    38   468   500   464   514 0.86 | transcript=PVP01_1435500.1 | gene=PVP01_1435500 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=PvP01_14_v2:1497430-1500744(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435500.1-p1   -           1104 4437at5820           -            479   1.7e-18   65.6  22.1   2   2     6e-17   7.8e-14   50.2  17.7    45   468   556  1057   531  1063 0.70 | transcript=PVP01_1435500.1 | gene=PVP01_1435500 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=PvP01_14_v2:1497430-1500744(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
