#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1234600.1-p1   -           1579 1518at5820           -           1119         0 1805.1 102.6   1   7  1.1e-101   2.3e-98  329.0  35.7     1   200    15   234    15   243 0.90 | transcript=PVP01_1234600.1 | gene=PVP01_1234600 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=PvP01_12_v2:1378516-1383369(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234600.1-p1   -           1579 1518at5820           -           1119         0 1805.1 102.6   2   7   6.7e-26   1.5e-22   78.0   1.7   195   280   292   392   253   404 0.85 | transcript=PVP01_1234600.1 | gene=PVP01_1234600 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=PvP01_12_v2:1378516-1383369(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234600.1-p1   -           1579 1518at5820           -           1119         0 1805.1 102.6   3   7   1.2e-61   2.6e-58  196.4   3.1   281   412   468   613   464   617 0.90 | transcript=PVP01_1234600.1 | gene=PVP01_1234600 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=PvP01_12_v2:1378516-1383369(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234600.1-p1   -           1579 1518at5820           -           1119         0 1805.1 102.6   4   7   4.9e-50   1.1e-46  157.9   3.4   408   510   664   772   660   787 0.89 | transcript=PVP01_1234600.1 | gene=PVP01_1234600 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=PvP01_12_v2:1378516-1383369(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234600.1-p1   -           1579 1518at5820           -           1119         0 1805.1 102.6   5   7   4.2e-67   9.2e-64  214.4   0.6   511   643   816   963   804  1001 0.82 | transcript=PVP01_1234600.1 | gene=PVP01_1234600 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=PvP01_12_v2:1378516-1383369(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234600.1-p1   -           1579 1518at5820           -           1119         0 1805.1 102.6   6   7  1.2e-213  2.6e-210  699.7  12.3   656   974  1052  1370  1027  1382 0.93 | transcript=PVP01_1234600.1 | gene=PVP01_1234600 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=PvP01_12_v2:1378516-1383369(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234600.1-p1   -           1579 1518at5820           -           1119         0 1805.1 102.6   7   7   2.2e-51   4.7e-48  162.4   1.0   972  1119  1397  1572  1392  1572 0.90 | transcript=PVP01_1234600.1 | gene=PVP01_1234600 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=PvP01_12_v2:1378516-1383369(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027400.1-p1   -            443 1518at5820           -           1119   3.8e-06   23.6   0.7   1   2     8e-09   1.7e-05   21.5   0.5   754   801   263   309   255   318 0.85 | transcript=PVP01_1027400.1 | gene=PVP01_1027400 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=PvP01_10_v2:1181388-1182840(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027400.1-p1   -            443 1518at5820           -           1119   3.8e-06   23.6   0.7   2   2      0.05   1.1e+02   -1.1   0.0   926   944   398   416   347   422 0.83 | transcript=PVP01_1027400.1 | gene=PVP01_1027400 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=PvP01_10_v2:1181388-1182840(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724200.1-p1   -            448 1518at5820           -           1119   0.00014   18.5  11.1   1   3      0.65   1.4e+03   -4.8   1.1  1004  1036    45    77    40    91 0.70 | transcript=PVP01_0724200.1 | gene=PVP01_0724200 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=PvP01_07_v2:1030792-1032138(-) | protein_length=448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724200.1-p1   -            448 1518at5820           -           1119   0.00014   18.5  11.1   2   3   4.9e-07    0.0011   15.5   0.3   752   795   143   183   137   188 0.82 | transcript=PVP01_0724200.1 | gene=PVP01_0724200 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=PvP01_07_v2:1030792-1032138(-) | protein_length=448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724200.1-p1   -            448 1518at5820           -           1119   0.00014   18.5  11.1   3   3   1.1e-05     0.024   11.0   0.2   828   897   191   263   186   274 0.82 | transcript=PVP01_0724200.1 | gene=PVP01_0724200 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=PvP01_07_v2:1030792-1032138(-) | protein_length=448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1518at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1518at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1518at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:17 2026
# [ok]
