#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5   1  21     2e-40   2.1e-37  126.5   2.6     1    74     9    82     9    97 0.90 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5   2  21   5.6e-62   6.1e-59  197.9  12.1    73   185   115   228   109   236 0.94 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5   3  21   1.5e-23   1.7e-20   70.5   5.7   184   261   252   338   246   362 0.79 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5   4  21   1.3e-39   1.4e-36  123.8  10.6   265   375   432   564   393   577 0.78 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5   5  21  1.6e-111  1.7e-108  362.3  37.4   376   565   658   847   649   850 0.98 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5   6  21   1.9e-52     2e-49  166.4   3.3   545   679  1089  1228  1084  1249 0.91 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5   7  21   3.1e-33   3.3e-30  102.6  13.6   705   790  1374  1462  1317  1469 0.80 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5   8  21   2.1e-15   2.2e-12   43.5   0.0   789   832  1513  1556  1508  1567 0.92 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5   9  21   2.2e-08   2.4e-05   20.2  11.2   832   935  1634  1739  1625  1741 0.72 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5  10  21   1.4e-11   1.5e-08   30.8  10.6   878   941  1730  1798  1722  1805 0.85 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5  11  21   0.00033      0.36    6.4   5.9   930   961  1813  1844  1805  1851 0.89 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
