#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0309600.1-p1   -            953 2909at5820           -            517  1.1e-263  874.3  47.5   1   4   2.2e-62     2e-59  200.4  19.6     5   142     9   167     2   201 0.81 | transcript=PVP01_0309600.1 | gene=PVP01_0309600 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=PvP01_03_v2:441263-444314(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309600.1-p1   -            953 2909at5820           -            517  1.1e-263  874.3  47.5   2   4   5.5e-05     0.052   11.0   0.3   127   170   380   423   362   444 0.82 | transcript=PVP01_0309600.1 | gene=PVP01_0309600 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=PvP01_03_v2:441263-444314(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309600.1-p1   -            953 2909at5820           -            517  1.1e-263  874.3  47.5   3   4   1.9e-24   1.8e-21   75.2   3.5   132   247   527   649   512   660 0.72 | transcript=PVP01_0309600.1 | gene=PVP01_0309600 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=PvP01_03_v2:441263-444314(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309600.1-p1   -            953 2909at5820           -            517  1.1e-263  874.3  47.5   4   4  5.7e-183  5.3e-180  598.2   2.7   245   516   678   952   674   953 0.97 | transcript=PVP01_0309600.1 | gene=PVP01_0309600 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=PvP01_03_v2:441263-444314(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939500.1-p1   -            872 2909at5820           -            517   3.2e-23   80.9   0.3   1   3      0.15   1.4e+02   -0.3   0.1   236   265    45    74    36    88 0.84 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939500.1-p1   -            872 2909at5820           -            517   3.2e-23   80.9   0.3   2   3      0.16   1.5e+02   -0.5   0.1   276   329   367   419   341   425 0.78 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939500.1-p1   -            872 2909at5820           -            517   3.2e-23   80.9   0.3   3   3   3.4e-26   3.2e-23   80.9   0.3   306   454   511   661   494   712 0.89 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252000.1-p1   -            411 2909at5820           -            517   2.3e-18   64.9   4.1   1   2   2.5e-21   2.3e-18   64.9   4.1   308   483    96   281    31   293 0.77 | transcript=PVP01_1252000.1 | gene=PVP01_1252000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=PvP01_12_v2:2131654-2134620(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252000.1-p1   -            411 2909at5820           -            517   2.3e-18   64.9   4.1   2   2       4.5   4.2e+03   -5.2   6.5    25   122   311   408   290   411 0.44 | transcript=PVP01_1252000.1 | gene=PVP01_1252000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=PvP01_12_v2:2131654-2134620(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429800.1-p1   -            303 2909at5820           -            517   2.3e-16   58.3   7.6   1   1   2.9e-19   2.7e-16   58.1   7.6   225   480    29   300    12   303 0.74 | transcript=PVP01_1429800.1 | gene=PVP01_1429800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=PvP01_14_v2:1284812-1287310(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935900.1-p1   -            852 2909at5820           -            517   7.3e-13   46.7   2.1   1   2   1.8e-10   1.7e-07   29.1   0.7   230   353   521   656   507   673 0.76 | transcript=PVP01_0935900.1 | gene=PVP01_0935900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=PvP01_09_v2:1541539-1544097(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
