#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0821100.1-p1   -            108 14695at5820          -             87   3.7e-57  189.2  15.1   1   1   7.9e-60   7.3e-57  188.3  15.1     1    87    12   106    12   106 0.97 | transcript=PVP01_0821100.1 | gene=PVP01_0821100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=PvP01_08_v2:923353-923679(+) | protein_length=108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125000.1-p1   -             89 14695at5820          -             87   8.9e-10   37.4  12.5   1   1   2.3e-12   2.1e-09   36.2  12.5     3    84     5    83     3    86 0.86 | transcript=PVP01_1125000.1 | gene=PVP01_1125000 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=PvP01_11_v2:1096658-1096927(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326500.1-p1   -            520 14695at5820          -             87    0.0099   14.8   2.8   1   2       2.1     2e+03   -2.2   0.0    19    29   295   305   292   311 0.82 | transcript=PVP01_1326500.1 | gene=PVP01_1326500 | organism=Plasmodium_vivax_P01 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=PvP01_13_v2:1148914-1151234(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326500.1-p1   -            520 14695at5820          -             87    0.0099   14.8   2.8   2   2   1.5e-05     0.014   14.3   0.9    55    82   313   340   309   345 0.89 | transcript=PVP01_1326500.1 | gene=PVP01_1326500 | organism=Plasmodium_vivax_P01 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=PvP01_13_v2:1148914-1151234(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004000.1-p1   -            284 14695at5820          -             87     0.017   14.1   3.2   1   2         5   4.7e+03   -3.4   0.0    10    41     8    39     6    44 0.65 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004000.1-p1   -            284 14695at5820          -             87     0.017   14.1   3.2   2   2     5e-05     0.047   12.6   2.1    55    78   253   276   224   281 0.81 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825400.1-p1   -           1211 14695at5820          -             87     0.018   13.9   1.2   1   1   5.6e-05     0.052   12.5   1.2    52    79  1178  1205  1152  1210 0.85 | transcript=PVP01_0825400.1 | gene=PVP01_0825400 | organism=Plasmodium_vivax_P01 | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=PvP01_08_v2:1139526-1143161(+) | protein_length=1211 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613300.1-p1   -            272 14695at5820          -             87     0.027   13.4   1.1   1   1   7.2e-05     0.067   12.1   1.1    48    77   229   258   212   266 0.86 | transcript=PVP01_0613300.1 | gene=PVP01_0613300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_06_v2:571562-572380(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804000.1-p1   -           1169 14695at5820          -             87     0.029   13.3   3.2   1   1   8.7e-05     0.081   11.9   3.2    33    77   361   404   340   410 0.72 | transcript=PVP01_0804000.1 | gene=PVP01_0804000 | organism=Plasmodium_vivax_P01 | gene_product=RING finger E3 ubiquitin-protein ligase, putative | transcript_product=RING finger E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:197452-200961(-) | protein_length=1169 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14695at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14695at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14695at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:10 2026
# [ok]
