#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6   1  14   3.3e-76   2.2e-72  243.0  25.8     1   166     1   205     1   220 0.83 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6   2  14      0.07   4.6e+02   -3.0  17.6   125   226   271   376   263   415 0.58 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6   3  14   3.5e-17   2.3e-13   47.7  13.0   194   241   439   489   393   529 0.76 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6   4  14     9e-07    0.0058   13.2   4.5   215   274   538   598   515   613 0.81 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6   5  14   1.5e-16   9.9e-13   45.6   6.8   255   316   617   678   604   696 0.80 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6   6  14      0.12     8e+02   -3.8   6.2   307   345   697   740   691   776 0.55 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6   7  14   1.9e-19   1.3e-15   55.1  20.4   234   379   825   987   794  1003 0.61 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6   8  14   4.7e-09   3.1e-05   20.8   4.1   380   416  1052  1088  1037  1098 0.87 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6   9  14   1.1e-18   7.4e-15   52.6  16.3   380   499  1089  1211  1085  1217 0.73 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6  10  14   3.5e-24   2.3e-20   70.8  10.6   447   528  1210  1297  1205  1301 0.89 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6  11  14     3e-91   1.9e-87  292.8  67.7   528   695  1364  1535  1346  1540 0.92 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
