#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1263700.1-p1   -            101 15144at5820          -             92   6.2e-62  204.9   5.6   1   1   9.7e-65     7e-62  204.7   5.6     1    92     7    98     7    98 0.99 | transcript=PVP01_1263700.1 | gene=PVP01_1263700 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=PvP01_12_v2:2632824-2633500(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204600.1-p1   -             94 15144at5820          -             92   1.1e-10   40.5   0.5   1   1     2e-13   1.5e-10   40.2   0.4    16    75    29    86    14    91 0.91 | transcript=PVP01_1204600.1 | gene=PVP01_1204600 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=PvP01_12_v2:185359-186110(+) | protein_length=94 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514400.1-p1   -             91 15144at5820          -             92   4.4e-06   25.9   0.1   1   1   7.4e-09   5.4e-06   25.6   0.1    13    64    17    69     7    89 0.70 | transcript=PVP01_0514400.1 | gene=PVP01_0514400 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=PvP01_05_v2:604006-604844(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308300.1-p1   -            107 15144at5820          -             92   6.4e-06   25.3   0.1   1   1   1.1e-08   7.9e-06   25.0   0.1    10    54    20    64    13   100 0.74 | transcript=PVP01_1308300.1 | gene=PVP01_1308300 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=PvP01_13_v2:385227-386003(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512000.1-p1   -             83 15144at5820          -             92   3.4e-05   23.0   0.1   1   1   1.1e-07   8.3e-05   21.8   0.1    12    51    16    55     9    81 0.87 | transcript=PVP01_0512000.1 | gene=PVP01_0512000 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=PvP01_05_v2:514732-515202(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406500.1-p1   -            101 15144at5820          -             92   0.00061   19.0   0.4   1   1   1.1e-06   0.00082   18.6   0.4     6    66    18    79    16    96 0.75 | transcript=PVP01_0406500.1 | gene=PVP01_0406500 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein Sm D2, putative | transcript_product=small nuclear ribonucleoprotein Sm D2, putative | location=PvP01_04_v2:276288-276826(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334100.1-p1   -            201 15144at5820          -             92    0.0018   17.5   0.2   1   2   5.7e-06    0.0041   16.3   0.1    18    85    15    87     6    94 0.75 | transcript=PVP01_1334100.1 | gene=PVP01_1334100 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=PvP01_13_v2:1467665-1468515(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334100.1-p1   -            201 15144at5820          -             92    0.0018   17.5   0.2   2   2      0.63   4.5e+02    0.2   0.0    62    84    85   107    78   109 0.86 | transcript=PVP01_1334100.1 | gene=PVP01_1334100 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=PvP01_13_v2:1467665-1468515(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505100.1-p1   -             95 15144at5820          -             92    0.0047   16.1   0.4   1   1   7.4e-06    0.0054   15.9   0.4    16    59    12    55     4    86 0.82 | transcript=PVP01_0505100.1 | gene=PVP01_0505100 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=PvP01_05_v2:234631-235447(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927600.1-p1   -             86 15144at5820          -             92     0.034   13.4   0.0   1   1   5.1e-05     0.037   13.3   0.0     9    50    13    54     6    75 0.87 | transcript=PVP01_0927600.1 | gene=PVP01_0927600 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=PvP01_09_v2:1217183-1218081(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
