#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1431800.1-p1   -           1087 3722at5820           -            653         0 1096.7 121.5   1   4   4.6e-05      0.06   10.5   9.6     1    29    94   122    94   129 0.90 | transcript=PVP01_1431800.1 | gene=PVP01_1431800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 2, putative | transcript_product=bromodomain protein 2, putative | location=PvP01_14_v2:1391052-1394315(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431800.1-p1   -           1087 3722at5820           -            653         0 1096.7 121.5   2   4   1.1e-61   1.4e-58  197.5  17.2     7   161   179   334   175   347 0.90 | transcript=PVP01_1431800.1 | gene=PVP01_1431800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 2, putative | transcript_product=bromodomain protein 2, putative | location=PvP01_14_v2:1391052-1394315(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431800.1-p1   -           1087 3722at5820           -            653         0 1096.7 121.5   3   4  2.8e-110  3.6e-107  358.1  26.7   129   367   422   669   394   687 0.80 | transcript=PVP01_1431800.1 | gene=PVP01_1431800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 2, putative | transcript_product=bromodomain protein 2, putative | location=PvP01_14_v2:1391052-1394315(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431800.1-p1   -           1087 3722at5820           -            653         0 1096.7 121.5   4   4  2.4e-167  3.1e-164  546.7  42.1   330   653   726  1087   703  1087 0.85 | transcript=PVP01_1431800.1 | gene=PVP01_1431800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 2, putative | transcript_product=bromodomain protein 2, putative | location=PvP01_14_v2:1391052-1394315(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 3722at5820           -            653   2.2e-09   35.1   1.0   1   1   2.9e-12   3.8e-09   34.3   1.0   198   276   321   399   315   421 0.93 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204600.1-p1   -           1567 3722at5820           -            653    0.0001   19.6   0.5   1   3         5   6.5e+03  -11.0   8.8   150   177    53    80    23   138 0.55 | transcript=PVP01_0204600.1 | gene=PVP01_0204600 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 3, putative | transcript_product=bromodomain protein 3, putative | location=PvP01_02_v2:218248-223110(-) | protein_length=1567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204600.1-p1   -           1567 3722at5820           -            653    0.0001   19.6   0.5   2   3   7.9e-08    0.0001   19.6   0.5   230   275   876   921   835   940 0.74 | transcript=PVP01_0204600.1 | gene=PVP01_0204600 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 3, putative | transcript_product=bromodomain protein 3, putative | location=PvP01_02_v2:218248-223110(-) | protein_length=1567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204600.1-p1   -           1567 3722at5820           -            653    0.0001   19.6   0.5   3   3      0.29   3.7e+02   -2.1   0.0   605   626   934   955   922   957 0.81 | transcript=PVP01_0204600.1 | gene=PVP01_0204600 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 3, putative | transcript_product=bromodomain protein 3, putative | location=PvP01_02_v2:218248-223110(-) | protein_length=1567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511000.1-p1   -           1539 3722at5820           -            653   0.00033   18.0   0.6   1   2       3.3   4.3e+03   -5.6   1.7   119   172   896   949   895   957 0.82 | transcript=PVP01_0511000.1 | gene=PVP01_0511000 | organism=Plasmodium_vivax_P01 | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=PvP01_05_v2:472790-478013(-) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511000.1-p1   -           1539 3722at5820           -            653   0.00033   18.0   0.6   2   2   2.5e-07   0.00033   18.0   0.6   190   276  1426  1510  1415  1527 0.84 | transcript=PVP01_0511000.1 | gene=PVP01_0511000 | organism=Plasmodium_vivax_P01 | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=PvP01_05_v2:472790-478013(-) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0000190.1-p1   -            403 3722at5820           -            653       4.9    4.1  20.7   1   1    0.0062       8.1    3.4  20.7   492   541   136   185   125   201 0.79 | transcript=PVP01_0000190.1 | gene=PVP01_0000190 | organism=Plasmodium_vivax_P01 | gene_product=lysophospholipase, putative | transcript_product=lysophospholipase, putative | location=Transfer.PvP01_00_1.final:85856-87067(+) | protein_length=403 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
