#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1450200.1-p1   -            539 6844at5820           -            398  6.8e-202  669.3  11.2   1   3     2e-65   4.3e-62  208.9   2.9     5   122    32   149    30   151 0.98 | transcript=PVP01_1450200.1 | gene=PVP01_1450200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_14_v2:2192366-2194162(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450200.1-p1   -            539 6844at5820           -            398  6.8e-202  669.3  11.2   2   3   2.7e-92   5.9e-89  297.4   2.5   121   291   198   368   195   370 0.96 | transcript=PVP01_1450200.1 | gene=PVP01_1450200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_14_v2:2192366-2194162(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450200.1-p1   -            539 6844at5820           -            398  6.8e-202  669.3  11.2   3   3   3.7e-52   8.1e-49  165.2   0.0   264   398   394   539   387   539 0.92 | transcript=PVP01_1450200.1 | gene=PVP01_1450200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_14_v2:2192366-2194162(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145200.1-p1   -            495 6844at5820           -            398     4e-18   64.1  21.2   1   5   8.5e-05      0.19    9.3   3.7    27    99    11    79     6   107 0.78 | transcript=PVP01_1145200.1 | gene=PVP01_1145200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_11_v2:1927621-1929108(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145200.1-p1   -            495 6844at5820           -            398     4e-18   64.1  21.2   2   5   1.9e-09   4.1e-06   24.6   0.4   109   197   123   209   101   214 0.79 | transcript=PVP01_1145200.1 | gene=PVP01_1145200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_11_v2:1927621-1929108(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145200.1-p1   -            495 6844at5820           -            398     4e-18   64.1  21.2   3   5   0.00055       1.2    6.6   0.0   206   231   247   272   232   280 0.82 | transcript=PVP01_1145200.1 | gene=PVP01_1145200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_11_v2:1927621-1929108(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145200.1-p1   -            495 6844at5820           -            398     4e-18   64.1  21.2   4   5   0.00014      0.31    8.5   0.1   234   255   359   380   330   391 0.73 | transcript=PVP01_1145200.1 | gene=PVP01_1145200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_11_v2:1927621-1929108(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145200.1-p1   -            495 6844at5820           -            398     4e-18   64.1  21.2   5   5   2.7e-09   5.8e-06   24.1   1.4   293   398   396   495   384   495 0.86 | transcript=PVP01_1145200.1 | gene=PVP01_1145200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_11_v2:1927621-1929108(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0205300.1-p1   -            569 6844at5820           -            398   1.3e-10   39.4   0.7   1   3      0.24   5.2e+02   -2.1   0.7    57    57   279   279   234   358 0.57 | transcript=PVP01_0205300.1 | gene=PVP01_0205300 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=PvP01_02_v2:236397-238106(-) | protein_length=569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0205300.1-p1   -            569 6844at5820           -            398   1.3e-10   39.4   0.7   2   3      0.18   3.9e+02   -1.7   0.0   296   340   373   417   363   424 0.76 | transcript=PVP01_0205300.1 | gene=PVP01_0205300 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=PvP01_02_v2:236397-238106(-) | protein_length=569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0205300.1-p1   -            569 6844at5820           -            398   1.3e-10   39.4   0.7   3   3   3.1e-13   6.7e-10   37.1   0.0   115   259   425   565   409   568 0.80 | transcript=PVP01_0205300.1 | gene=PVP01_0205300 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=PvP01_02_v2:236397-238106(-) | protein_length=569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6844at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6844at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6844at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:51 2026
# [ok]
