#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0510500.1-p1   -            691 4567at5820           -            584         0 1081.5  67.6   1   1         0         0 1081.1  67.6     5   584    86   691    37   691 0.97 | transcript=PVP01_0510500.1 | gene=PVP01_0510500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_05_v2:458994-461069(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 4567at5820           -            584   8.1e-16   56.3  24.8   1   2   7.7e-14   3.1e-11   41.1   0.6    53   123    26    93    20    97 0.92 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 4567at5820           -            584   8.1e-16   56.3  24.8   2   2   1.4e-07   5.8e-05   20.4  16.2   136   310   183   358   177   375 0.82 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 4567at5820           -            584   7.8e-15   53.0   0.2   1   1   3.5e-17   1.4e-14   52.1   0.2    61   125    43   108    39   151 0.89 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 4567at5820           -            584   2.2e-12   44.9   0.8   1   1   7.1e-15   2.9e-12   44.5   0.8    60   123     5    69     2    83 0.93 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 4567at5820           -            584   5.2e-12   43.7  14.1   1   1   1.9e-14   7.7e-12   43.1  14.1    51   150    36   134     6   329 0.66 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411800.1-p1   -            328 4567at5820           -            584   1.9e-11   41.8   3.8   1   1   8.1e-14   3.3e-11   41.0   3.8    61   124     4    70     2    78 0.90 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1271300.1-p1   -            406 4567at5820           -            584   2.3e-11   41.5   1.3   1   1   8.6e-14   3.5e-11   40.9   1.3    57   123    78   147    69   156 0.90 | transcript=PVP01_1271300.1 | gene=PVP01_1271300 | organism=Plasmodium_vivax_P01 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=PvP01_12_v2:3014790-3016631(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 4567at5820           -            584   3.3e-11   41.0   0.0   1   1   1.5e-13   6.1e-11   40.1   0.0    58   124   126   192    83   196 0.90 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308700.1-p1   -            649 4567at5820           -            584   1.3e-10   39.0   0.1   1   1   4.7e-13   1.9e-10   38.5   0.1    61   125    79   142    75   145 0.94 | transcript=PVP01_0308700.1 | gene=PVP01_0308700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=PvP01_03_v2:414818-416767(+) | protein_length=649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 4567at5820           -            584   1.4e-10   39.0   7.9   1   2   2.3e-12   9.5e-10   36.2   1.9    58   124    24    86    19    94 0.91 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 4567at5820           -            584   1.4e-10   39.0   7.9   2   2     0.003       1.2    6.1   0.4   280   364   323   404   275   415 0.77 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 4567at5820           -            584   4.5e-10   37.3   3.6   1   2   1.1e-12   4.5e-10   37.3   3.6    62   135     9    87     2    94 0.87 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
