#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1448200.1-p1   -           1748 1450at5820           -           1044         0 1486.8 114.1   1  11  4.6e-252    1e-248  827.0  54.4     1   422     1   433     1   460 0.97 | transcript=PVP01_1448200.1 | gene=PVP01_1448200 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=PvP01_14_v2:2093665-2100840(+) | protein_length=1748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448200.1-p1   -           1748 1450at5820           -           1044         0 1486.8 114.1   2  11     6e-09   1.3e-05   22.1   0.0   422   460   469   513   466   520 0.85 | transcript=PVP01_1448200.1 | gene=PVP01_1448200 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=PvP01_14_v2:2093665-2100840(+) | protein_length=1748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448200.1-p1   -           1748 1450at5820           -           1044         0 1486.8 114.1   3  11   7.3e-08   0.00016   18.5   0.0   490   529   622   664   569   676 0.70 | transcript=PVP01_1448200.1 | gene=PVP01_1448200 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=PvP01_14_v2:2093665-2100840(+) | protein_length=1748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448200.1-p1   -           1748 1450at5820           -           1044         0 1486.8 114.1   4  11   2.1e-41   4.6e-38  129.5   0.2   533   616   710   793   705   798 0.96 | transcript=PVP01_1448200.1 | gene=PVP01_1448200 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=PvP01_14_v2:2093665-2100840(+) | protein_length=1748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448200.1-p1   -           1748 1450at5820           -           1044         0 1486.8 114.1   5  11   2.1e-19   4.5e-16   56.7   1.0   614   677   846   914   836   919 0.85 | transcript=PVP01_1448200.1 | gene=PVP01_1448200 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=PvP01_14_v2:2093665-2100840(+) | protein_length=1748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448200.1-p1   -           1748 1450at5820           -           1044         0 1486.8 114.1   6  11    0.0048        10    2.6   0.0   674   696   947   972   940   984 0.75 | transcript=PVP01_1448200.1 | gene=PVP01_1448200 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=PvP01_14_v2:2093665-2100840(+) | protein_length=1748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448200.1-p1   -           1748 1450at5820           -           1044         0 1486.8 114.1   7  11   1.7e-06    0.0037   14.0   0.1   694   719  1025  1050  1008  1060 0.83 | transcript=PVP01_1448200.1 | gene=PVP01_1448200 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=PvP01_14_v2:2093665-2100840(+) | protein_length=1748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448200.1-p1   -           1748 1450at5820           -           1044         0 1486.8 114.1   8  11   1.5e-42   3.2e-39  133.4   2.9   723   809  1199  1299  1192  1312 0.86 | transcript=PVP01_1448200.1 | gene=PVP01_1448200 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=PvP01_14_v2:2093665-2100840(+) | protein_length=1748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448200.1-p1   -           1748 1450at5820           -           1044         0 1486.8 114.1   9  11     7e-24   1.5e-20   71.5   0.3   807   862  1387  1444  1365  1450 0.79 | transcript=PVP01_1448200.1 | gene=PVP01_1448200 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=PvP01_14_v2:2093665-2100840(+) | protein_length=1748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448200.1-p1   -           1748 1450at5820           -           1044         0 1486.8 114.1  10  11   4.9e-42   1.1e-38  131.7  11.0   862   978  1472  1618  1467  1620 0.77 | transcript=PVP01_1448200.1 | gene=PVP01_1448200 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=PvP01_14_v2:2093665-2100840(+) | protein_length=1748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448200.1-p1   -           1748 1450at5820           -           1044         0 1486.8 114.1  11  11   4.6e-34     1e-30  105.2   0.3   977  1044  1670  1740  1667  1740 0.96 | transcript=PVP01_1448200.1 | gene=PVP01_1448200 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=PvP01_14_v2:2093665-2100840(+) | protein_length=1748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
