#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1258300.1-p1   -            321 9793at5820           -            231  3.2e-113  375.3  19.2   1   3   1.2e-26     2e-23   81.5   0.2     1    54     1    54     1    75 0.93 | transcript=PVP01_1258300.1 | gene=PVP01_1258300 | organism=Plasmodium_vivax_P01 | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=PvP01_12_v2:2399542-2400507(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1258300.1-p1   -            321 9793at5820           -            231  3.2e-113  375.3  19.2   2   3   1.5e-31   2.5e-28   97.5   0.6    51   108   107   164    98   171 0.95 | transcript=PVP01_1258300.1 | gene=PVP01_1258300 | organism=Plasmodium_vivax_P01 | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=PvP01_12_v2:2399542-2400507(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1258300.1-p1   -            321 9793at5820           -            231  3.2e-113  375.3  19.2   3   3   3.2e-64   5.3e-61  204.4   6.6   107   231   185   320   176   320 0.93 | transcript=PVP01_1258300.1 | gene=PVP01_1258300 | organism=Plasmodium_vivax_P01 | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=PvP01_12_v2:2399542-2400507(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217900.1-p1   -            378 9793at5820           -            231   8.5e-06   23.8  13.0   1   3      0.77   1.3e+03   -2.9   0.5   112   158    72   118    52   138 0.59 | transcript=PVP01_1217900.1 | gene=PVP01_1217900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=PvP01_12_v2:745244-746380(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217900.1-p1   -            378 9793at5820           -            231   8.5e-06   23.8  13.0   2   3   8.8e-09   1.4e-05   23.1   3.3    69   132   208   270   200   285 0.84 | transcript=PVP01_1217900.1 | gene=PVP01_1217900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=PvP01_12_v2:745244-746380(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217900.1-p1   -            378 9793at5820           -            231   8.5e-06   23.8  13.0   3   3   0.00047      0.77    7.6   0.1   181   220   285   324   272   335 0.79 | transcript=PVP01_1217900.1 | gene=PVP01_1217900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=PvP01_12_v2:745244-746380(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417700.1-p1   -            293 9793at5820           -            231   4.4e-05   21.4   2.6   1   3      0.53   8.6e+02   -2.4   0.0    77   100    61    84    50   107 0.76 | transcript=PVP01_1417700.1 | gene=PVP01_1417700 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC20, putative | transcript_product=protein transport protein SEC20, putative | location=PvP01_14_v2:770705-772635(-) | protein_length=293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417700.1-p1   -            293 9793at5820           -            231   4.4e-05   21.4   2.6   2   3      0.24     4e+02   -1.3   0.1   179   205   107   133    82   154 0.71 | transcript=PVP01_1417700.1 | gene=PVP01_1417700 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC20, putative | transcript_product=protein transport protein SEC20, putative | location=PvP01_14_v2:770705-772635(-) | protein_length=293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417700.1-p1   -            293 9793at5820           -            231   4.4e-05   21.4   2.6   3   3   2.7e-08   4.4e-05   21.4   2.6   122   188   154   221   143   225 0.87 | transcript=PVP01_1417700.1 | gene=PVP01_1417700 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC20, putative | transcript_product=protein transport protein SEC20, putative | location=PvP01_14_v2:770705-772635(-) | protein_length=293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725500.1-p1   -            156 9793at5820           -            231    0.0047   14.8   0.9   1   2   9.7e-06     0.016   13.1   0.3    60   105    11    55     5    94 0.71 | transcript=PVP01_0725500.1 | gene=PVP01_0725500 | organism=Plasmodium_vivax_P01 | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=PvP01_07_v2:1099023-1099716(+) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725500.1-p1   -            156 9793at5820           -            231    0.0047   14.8   0.9   2   2     0.079   1.3e+02    0.3   0.0   184   198    99   113    81   135 0.72 | transcript=PVP01_0725500.1 | gene=PVP01_0725500 | organism=Plasmodium_vivax_P01 | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=PvP01_07_v2:1099023-1099716(+) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
