#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1243600.1-p1   -            344 8432at5820           -            308  1.1e-198  656.9   4.4   1   1  2.2e-201  1.3e-198  656.6   4.4     1   308    16   339    16   339 0.97 | transcript=PVP01_1243600.1 | gene=PVP01_1243600 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=PvP01_12_v2:1771968-1773436(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407000.1-p1   -            330 8432at5820           -            308   5.3e-62  208.0   4.9   1   1   1.1e-64   6.7e-62  207.6   4.9     1   295     7   322     7   328 0.84 | transcript=PVP01_0407000.1 | gene=PVP01_0407000 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=PvP01_04_v2:290145-291137(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458800.1-p1   -            336 8432at5820           -            308   6.6e-57  191.2   0.9   1   1   1.3e-59     8e-57  191.0   0.9     1   294    19   323    19   335 0.84 | transcript=PVP01_1458800.1 | gene=PVP01_1458800 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=PvP01_14_v2:2573035-2574453(+) | protein_length=336 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911900.1-p1   -            349 8432at5820           -            308   6.3e-19   66.5   0.9   1   2   1.3e-10   7.9e-08   30.1   0.0     2    79     4    83     3    91 0.86 | transcript=PVP01_0911900.1 | gene=PVP01_0911900 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 5, putative | transcript_product=replication factor C subunit 5, putative | location=PvP01_09_v2:569402-570451(-) | protein_length=349 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911900.1-p1   -            349 8432at5820           -            308   6.3e-19   66.5   0.9   2   2   3.5e-12   2.1e-09   35.3   0.1    76   180   101   207    82   240 0.82 | transcript=PVP01_0911900.1 | gene=PVP01_0911900 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 5, putative | transcript_product=replication factor C subunit 5, putative | location=PvP01_09_v2:569402-570451(-) | protein_length=349 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0405400.1-p1   -            945 8432at5820           -            308   1.3e-14   52.3   2.2   1   2     0.046        27    2.0   0.0     1    25   397   421   397   427 0.87 | transcript=PVP01_0405400.1 | gene=PVP01_0405400 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=PvP01_04_v2:248395-251232(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0405400.1-p1   -            945 8432at5820           -            308   1.3e-14   52.3   2.2   2   2   3.5e-16   2.1e-13   48.4   1.7    16   212   435   633   425   682 0.77 | transcript=PVP01_0405400.1 | gene=PVP01_0405400 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=PvP01_04_v2:248395-251232(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 8432at5820           -            308   0.00022   18.8   0.0   1   2   2.1e-05     0.013   13.0   0.0    31   111   289   369   278   377 0.76 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 8432at5820           -            308   0.00022   18.8   0.0   2   2     0.029        17    2.7   0.0    22    49   559   588   548   644 0.74 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1302300.1-p1   -           1162 8432at5820           -            308   0.00095   16.7   0.9   1   2       0.3   1.8e+02   -0.7   0.0    59   107   383   429   379   436 0.79 | transcript=PVP01_1302300.1 | gene=PVP01_1302300 | organism=Plasmodium_vivax_P01 | gene_product=origin recognition complex subunit 1, putative | transcript_product=origin recognition complex subunit 1, putative | location=PvP01_13_v2:114829-118317(+) | protein_length=1162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1302300.1-p1   -           1162 8432at5820           -            308   0.00095   16.7   0.9   2   2   2.2e-05     0.013   12.9   0.3    27    81   775   829   751   987 0.76 | transcript=PVP01_1302300.1 | gene=PVP01_1302300 | organism=Plasmodium_vivax_P01 | gene_product=origin recognition complex subunit 1, putative | transcript_product=origin recognition complex subunit 1, putative | location=PvP01_13_v2:114829-118317(+) | protein_length=1162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
