#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0309200.1-p1   -            414 6709at5820           -            364  9.7e-196  648.3   8.5   1   1  1.5e-198  1.3e-195  647.9   8.5     1   364    11   414    11   414 0.94 | transcript=PVP01_0309200.1 | gene=PVP01_0309200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_03_v2:430357-432507(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336400.1-p1   -            376 6709at5820           -            364   1.5e-14   52.1   0.0   1   1   2.9e-17   2.4e-14   51.5   0.0    60   351    72   364    34   373 0.76 | transcript=PVP01_1336400.1 | gene=PVP01_1336400 | organism=Plasmodium_vivax_P01 | gene_product=actin II | transcript_product=actin II | location=PvP01_13_v2:1568504-1569804(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463200.1-p1   -            376 6709at5820           -            364   5.3e-14   50.3   0.0   1   1   8.9e-17   7.3e-14   49.9   0.0   136   350   154   363    71   373 0.76 | transcript=PVP01_1463200.1 | gene=PVP01_1463200 | organism=Plasmodium_vivax_P01 | gene_product=actin, putative | transcript_product=actin, putative | location=PvP01_14_v2:2720583-2721713(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709200.1-p1   -            599 6709at5820           -            364   1.6e-13   48.8   0.2   1   2      0.53   4.3e+02   -2.0   0.0   229   245   375   391   342   402 0.70 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709200.1-p1   -            599 6709at5820           -            364   1.6e-13   48.8   0.2   2   2   6.1e-16     5e-13   47.1   0.1   259   352   484   582   478   594 0.82 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911500.1-p1   -            378 6709at5820           -            364   1.1e-12   45.9   0.0   1   1   1.8e-15   1.5e-12   45.6   0.0    74   359    78   370    54   375 0.78 | transcript=PVP01_0911500.1 | gene=PVP01_0911500 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:560130-561977(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210900.1-p1   -            379 6709at5820           -            364   1.3e-11   42.5   0.3   1   1   2.1e-14   1.7e-11   42.1   0.3    60   350    78   366    11   376 0.74 | transcript=PVP01_0210900.1 | gene=PVP01_0210900 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=PvP01_02_v2:443680-446361(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315000.1-p1   -            855 6709at5820           -            364   7.8e-07   26.8   2.2   1   2   5.9e-05     0.048   11.0   0.4   111   204   421   526   391   534 0.79 | transcript=PVP01_0315000.1 | gene=PVP01_0315000 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=PvP01_03_v2:671191-673758(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315000.1-p1   -            855 6709at5820           -            364   7.8e-07   26.8   2.2   2   2   3.4e-06    0.0027   15.1   0.1   257   306   757   806   727   851 0.80 | transcript=PVP01_0315000.1 | gene=PVP01_0315000 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=PvP01_03_v2:671191-673758(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 6709at5820           -            364   6.8e-06   23.7   0.0   1   1   1.7e-08   1.4e-05   22.7   0.0   255   351   383   481   377   489 0.74 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
