#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1228700.1-p1   -           2331 684at5820            -           1068         0 1114.4 108.6   1  14   1.7e-22   1.1e-18   64.9   0.6     3    41    58    96    56    99 0.93 | transcript=PVP01_1228700.1 | gene=PVP01_1228700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1142870-1149865(+) | protein_length=2331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228700.1-p1   -           2331 684at5820            -           1068         0 1114.4 108.6   2  14     0.037   2.4e+02   -2.4   0.0    37    56   124   143   114   149 0.73 | transcript=PVP01_1228700.1 | gene=PVP01_1228700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1142870-1149865(+) | protein_length=2331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228700.1-p1   -           2331 684at5820            -           1068         0 1114.4 108.6   3  14  2.8e-113  1.8e-109  365.5  23.6    60   315   267   528   252   536 0.93 | transcript=PVP01_1228700.1 | gene=PVP01_1228700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1142870-1149865(+) | protein_length=2331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228700.1-p1   -           2331 684at5820            -           1068         0 1114.4 108.6   4  14   2.8e-67   1.8e-63  213.2  20.0   314   474   557   740   554   754 0.87 | transcript=PVP01_1228700.1 | gene=PVP01_1228700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1142870-1149865(+) | protein_length=2331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228700.1-p1   -           2331 684at5820            -           1068         0 1114.4 108.6   5  14   1.9e-13   1.2e-09   34.9   0.8   482   528   834   881   827   888 0.92 | transcript=PVP01_1228700.1 | gene=PVP01_1228700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1142870-1149865(+) | protein_length=2331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228700.1-p1   -           2331 684at5820            -           1068         0 1114.4 108.6   6  14   1.2e-31   7.5e-28   95.3   8.0   507   601   896   998   882  1003 0.84 | transcript=PVP01_1228700.1 | gene=PVP01_1228700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1142870-1149865(+) | protein_length=2331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228700.1-p1   -           2331 684at5820            -           1068         0 1114.4 108.6   7  14   2.3e-09   1.5e-05   21.5   0.1   628   659  1151  1182  1117  1192 0.78 | transcript=PVP01_1228700.1 | gene=PVP01_1228700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1142870-1149865(+) | protein_length=2331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228700.1-p1   -           2331 684at5820            -           1068         0 1114.4 108.6   8  14   1.4e-24   8.9e-21   71.9   2.8   657   726  1273  1361  1218  1363 0.84 | transcript=PVP01_1228700.1 | gene=PVP01_1228700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1142870-1149865(+) | protein_length=2331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228700.1-p1   -           2331 684at5820            -           1068         0 1114.4 108.6   9  14   6.5e-16   4.3e-12   43.1   0.1   726   764  1452  1490  1449  1494 0.92 | transcript=PVP01_1228700.1 | gene=PVP01_1228700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1142870-1149865(+) | protein_length=2331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228700.1-p1   -           2331 684at5820            -           1068         0 1114.4 108.6  10  14     2e-12   1.3e-08   31.6   0.2   761   814  1516  1570  1506  1580 0.88 | transcript=PVP01_1228700.1 | gene=PVP01_1228700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1142870-1149865(+) | protein_length=2331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228700.1-p1   -           2331 684at5820            -           1068         0 1114.4 108.6  11  14   3.6e-08   0.00024   17.5   0.0   815   853  1712  1750  1691  1755 0.84 | transcript=PVP01_1228700.1 | gene=PVP01_1228700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1142870-1149865(+) | protein_length=2331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
