#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4   1  25   2.8e-80   1.8e-76  255.8  18.8     1   167    15   183    15   197 0.97 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4   2  25   2.8e-79   1.9e-75  252.5   8.9   167   336   241   427   235   434 0.91 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4   3  25   4.7e-63   3.1e-59  198.6   8.4   336   464   580   721   569   727 0.88 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4   4  25   3.3e-48   2.2e-44  149.4   1.2   467   560   762   855   744   859 0.94 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4   5  25   2.8e-37   1.8e-33  113.1   0.7   560   627   924   991   919   995 0.96 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4   6  25   4.8e-71   3.1e-67  225.2   1.2   617   749  1015  1147  1010  1161 0.94 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4   7  25   2.7e-31   1.7e-27   93.3   0.9   756   845  1220  1329  1217  1335 0.81 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4   8  25   1.8e-98   1.2e-94  316.2  15.5   844  1048  1380  1596  1350  1600 0.92 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4   9  25    8e-111  5.2e-107  357.2  15.6  1048  1260  1643  1860  1640  1864 0.96 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  10  25   5.1e-10   3.3e-06   22.7   0.4  1258  1287  1893  1922  1881  1931 0.89 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  11  25   1.6e-79     1e-75  253.3   6.8  1279  1428  2005  2154  1998  2172 0.93 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  12  25  3.2e-133  2.1e-129  431.5   0.6  1446  1699  2814  3092  2808  3098 0.92 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  13  25   3.7e-74   2.4e-70  235.5   8.7  1699  1826  3138  3265  3134  3279 0.98 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  14  25     0.015        97   -2.1   0.0  1826  1843  3292  3309  3289  3311 0.90 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  15  25   5.2e-64   3.4e-60  201.8  14.2  1843  1970  3481  3621  3477  3628 0.91 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  16  25   1.1e-99   7.4e-96  320.2   7.7  1969  2178  3735  3965  3724  3972 0.92 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  17  25   6.5e-65   4.2e-61  204.8  10.7  2177  2300  4037  4160  4033  4167 0.95 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
