#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0935300.1-p1   -           1576 1728at5820           -           1097         0 1566.0 129.2   1   9   1.1e-06    0.0073   12.6   0.0     1    25     1    25     1    29 0.91 | transcript=PVP01_0935300.1 | gene=PVP01_0935300 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_09_v2:1508269-1513101(+) | protein_length=1576 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935300.1-p1   -           1576 1728at5820           -           1097         0 1566.0 129.2   2   9   2.9e-26   1.9e-22   77.4   0.9    19   108    42   153    34   159 0.82 | transcript=PVP01_0935300.1 | gene=PVP01_0935300 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_09_v2:1508269-1513101(+) | protein_length=1576 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935300.1-p1   -           1576 1728at5820           -           1097         0 1566.0 129.2   3   9   4.3e-80   2.8e-76  255.7  16.9   104   301   186   416   185   420 0.92 | transcript=PVP01_0935300.1 | gene=PVP01_0935300 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_09_v2:1508269-1513101(+) | protein_length=1576 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935300.1-p1   -           1576 1728at5820           -           1097         0 1566.0 129.2   4   9   1.5e-81   9.6e-78  260.6  14.2   299   475   459   652   444   686 0.87 | transcript=PVP01_0935300.1 | gene=PVP01_0935300 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_09_v2:1508269-1513101(+) | protein_length=1576 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935300.1-p1   -           1576 1728at5820           -           1097         0 1566.0 129.2   5   9   2.2e-64   1.4e-60  203.7   8.3   492   612   754   874   726   894 0.85 | transcript=PVP01_0935300.1 | gene=PVP01_0935300 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_09_v2:1508269-1513101(+) | protein_length=1576 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935300.1-p1   -           1576 1728at5820           -           1097         0 1566.0 129.2   6   9   1.3e-23   8.4e-20   68.7   7.5   620   686   927  1012   924  1018 0.78 | transcript=PVP01_0935300.1 | gene=PVP01_0935300 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_09_v2:1508269-1513101(+) | protein_length=1576 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935300.1-p1   -           1576 1728at5820           -           1097         0 1566.0 129.2   7   9   2.1e-29   1.4e-25   87.8   2.3   681   758  1035  1112  1026  1121 0.91 | transcript=PVP01_0935300.1 | gene=PVP01_0935300 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_09_v2:1508269-1513101(+) | protein_length=1576 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935300.1-p1   -           1576 1728at5820           -           1097         0 1566.0 129.2   8   9   2.4e-69   1.5e-65  220.1  13.4   743   888  1142  1291  1119  1297 0.90 | transcript=PVP01_0935300.1 | gene=PVP01_0935300 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_09_v2:1508269-1513101(+) | protein_length=1576 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935300.1-p1   -           1576 1728at5820           -           1097         0 1566.0 129.2   9   9  2.7e-129  1.7e-125  418.6  10.7   884  1097  1357  1576  1353  1576 0.96 | transcript=PVP01_0935300.1 | gene=PVP01_0935300 | organism=Plasmodium_vivax_P01 | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=PvP01_09_v2:1508269-1513101(+) | protein_length=1576 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1728at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1728at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1728at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:26 2026
# [ok]
