#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1204400.1-p1   -            585 8614at5820           -            406  5.3e-143  475.3   8.3   1   4     1e-87   1.7e-84  282.6   3.9     2   196     4   224     3   226 0.89 | transcript=PVP01_1204400.1 | gene=PVP01_1204400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_12_v2:180938-182695(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204400.1-p1   -            585 8614at5820           -            406  5.3e-143  475.3   8.3   2   4   2.9e-38   4.8e-35  119.7   0.0   197   322   257   420   252   426 0.83 | transcript=PVP01_1204400.1 | gene=PVP01_1204400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_12_v2:180938-182695(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204400.1-p1   -            585 8614at5820           -            406  5.3e-143  475.3   8.3   3   4   1.3e-05      0.02   12.3   0.0   320   354   448   486   443   489 0.81 | transcript=PVP01_1204400.1 | gene=PVP01_1204400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_12_v2:180938-182695(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204400.1-p1   -            585 8614at5820           -            406  5.3e-143  475.3   8.3   4   4   7.8e-20   1.3e-16   59.1   0.0   349   406   510   576   501   576 0.86 | transcript=PVP01_1204400.1 | gene=PVP01_1204400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_12_v2:180938-182695(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945200.1-p1   -            359 8614at5820           -            406   4.8e-17   60.5   6.3   1   2   2.9e-20   4.8e-17   60.5   6.3     3    93    11   105     8   164 0.89 | transcript=PVP01_0945200.1 | gene=PVP01_0945200 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=PvP01_09_v2:1977796-1978875(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945200.1-p1   -            359 8614at5820           -            406   4.8e-17   60.5   6.3   2   2      0.44   7.2e+02   -2.7   0.0   151   178   261   288   246   335 0.59 | transcript=PVP01_0945200.1 | gene=PVP01_0945200 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=PvP01_09_v2:1977796-1978875(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 8614at5820           -            406   3.6e-09   34.5  22.0   1   4   3.9e-11   6.3e-08   30.4   6.9     2   127   194   322   193   327 0.80 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 8614at5820           -            406   3.6e-09   34.5  22.0   2   4     0.088   1.4e+02   -0.4   0.1   375   405   604   634   554   635 0.68 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 8614at5820           -            406   3.6e-09   34.5  22.0   3   4   1.9e-05     0.032   11.7   0.0     6    89   654   751   650   760 0.81 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 8614at5820           -            406   3.6e-09   34.5  22.0   4   4      0.14   2.3e+02   -1.0   2.1   174   254   941  1024   917  1028 0.73 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518300.1-p1   -            406 8614at5820           -            406      0.02   12.3   0.9   1   2   3.2e-05     0.053   10.9   0.3    24    99     5    85     1   129 0.76 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518300.1-p1   -            406 8614at5820           -            406      0.02   12.3   0.9   2   2      0.16   2.6e+02   -1.3   0.0   332   393   210   270   192   276 0.67 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8614at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8614at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8614at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:48 2026
# [ok]
