#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0817600.1-p1   -           1402 2733at5820           -            722         0 1062.5 184.5   1  11         2   6.5e+03   -7.5   4.6    29    50    16    37     8    44 0.57 | transcript=PVP01_0817600.1 | gene=PVP01_0817600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:765555-769763(-) | protein_length=1402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817600.1-p1   -           1402 2733at5820           -            722         0 1062.5 184.5   2  11   9.5e-09   3.1e-05   21.0   6.5     1    27    46    72    46    90 0.85 | transcript=PVP01_0817600.1 | gene=PVP01_0817600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:765555-769763(-) | protein_length=1402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817600.1-p1   -           1402 2733at5820           -            722         0 1062.5 184.5   3  11         2   6.5e+03  -17.6  32.0    22    57   115   150   109   151 0.79 | transcript=PVP01_0817600.1 | gene=PVP01_0817600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:765555-769763(-) | protein_length=1402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817600.1-p1   -           1402 2733at5820           -            722         0 1062.5 184.5   4  11   1.5e-10   4.9e-07   27.0  33.2    24    72   139   192   137   202 0.80 | transcript=PVP01_0817600.1 | gene=PVP01_0817600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:765555-769763(-) | protein_length=1402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817600.1-p1   -           1402 2733at5820           -            722         0 1062.5 184.5   5  11   4.9e-07    0.0016   15.4   1.2    70    95   219   244   207   253 0.89 | transcript=PVP01_0817600.1 | gene=PVP01_0817600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:765555-769763(-) | protein_length=1402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817600.1-p1   -           1402 2733at5820           -            722         0 1062.5 184.5   6  11   1.8e-72   5.8e-69  231.7  15.0   101   228   319   446   307   452 0.97 | transcript=PVP01_0817600.1 | gene=PVP01_0817600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:765555-769763(-) | protein_length=1402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817600.1-p1   -           1402 2733at5820           -            722         0 1062.5 184.5   7  11   8.8e-90   2.9e-86  288.9  13.1   225   374   495   644   490   649 0.98 | transcript=PVP01_0817600.1 | gene=PVP01_0817600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:765555-769763(-) | protein_length=1402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817600.1-p1   -           1402 2733at5820           -            722         0 1062.5 184.5   8  11   1.4e-11   4.6e-08   30.4   0.1   372   404   710   742   697   750 0.90 | transcript=PVP01_0817600.1 | gene=PVP01_0817600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:765555-769763(-) | protein_length=1402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817600.1-p1   -           1402 2733at5820           -            722         0 1062.5 184.5   9  11   1.7e-09   5.5e-06   23.5   0.2   402   431   807   836   801   842 0.87 | transcript=PVP01_0817600.1 | gene=PVP01_0817600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:765555-769763(-) | protein_length=1402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817600.1-p1   -           1402 2733at5820           -            722         0 1062.5 184.5  10  11   1.1e-42   3.6e-39  133.2   0.9   425   526   897  1012   891  1032 0.87 | transcript=PVP01_0817600.1 | gene=PVP01_0817600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:765555-769763(-) | protein_length=1402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0817600.1-p1   -           1402 2733at5820           -            722         0 1062.5 184.5  11  11  2.8e-112    9e-109  363.3  20.0   540   721  1170  1351  1159  1352 0.98 | transcript=PVP01_0817600.1 | gene=PVP01_0817600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:765555-769763(-) | protein_length=1402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513300.1-p1   -            519 2733at5820           -            722   2.6e-18   64.3  47.7   1   3   1.3e-12   4.4e-09   33.8   7.5    89   207    45   164    14   171 0.84 | transcript=PVP01_0513300.1 | gene=PVP01_0513300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:553249-555542(-) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513300.1-p1   -            519 2733at5820           -            722   2.6e-18   64.3  47.7   2   3   1.5e-15   4.8e-12   43.5  14.7   233   369   169   304   161   312 0.82 | transcript=PVP01_0513300.1 | gene=PVP01_0513300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:553249-555542(-) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513300.1-p1   -            519 2733at5820           -            722   2.6e-18   64.3  47.7   3   3     0.048   1.6e+02   -1.1  10.5   539   674   326   468   313   506 0.62 | transcript=PVP01_0513300.1 | gene=PVP01_0513300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:553249-555542(-) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2733at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2733at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2733at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:38 2026
# [ok]
