#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1251300.1-p1   -           1903 478at5820            -           1452         0 2780.4 101.3   1   7  1.7e-226  5.4e-223  742.0  26.1     1   377     1   408     1   421 0.94 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251300.1-p1   -           1903 478at5820            -           1452         0 2780.4 101.3   2   7   6.9e-30   2.2e-26   90.4   0.2   374   435   436   501   424   507 0.93 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251300.1-p1   -           1903 478at5820            -           1452         0 2780.4 101.3   3   7  9.4e-153  3.1e-149  497.6  14.1   440   678   584   827   578   838 0.96 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251300.1-p1   -           1903 478at5820            -           1452         0 2780.4 101.3   4   7  2.4e-130  7.8e-127  423.4   4.9   676   893   859  1092   853  1095 0.94 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251300.1-p1   -           1903 478at5820            -           1452         0 2780.4 101.3   5   7  1.3e-170  4.1e-167  556.8   9.9   913  1197  1273  1574  1265  1577 0.96 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251300.1-p1   -           1903 478at5820            -           1452         0 2780.4 101.3   6   7   7.4e-05      0.24    7.5   0.3  1194  1216  1603  1626  1598  1638 0.80 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251300.1-p1   -           1903 478at5820            -           1452         0 2780.4 101.3   7   7  2.7e-151  8.7e-148  492.8   4.0  1200  1452  1637  1903  1627  1903 0.95 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114200.1-p1   -           1710 478at5820            -           1452   4.9e-30  102.6  12.8   1   4    0.0015         5    3.1   0.1    18   150    27   159     9   172 0.77 | transcript=PVP01_0114200.1 | gene=PVP01_0114200 | organism=Plasmodium_vivax_P01 | gene_product=ferlin-like protein, putative | transcript_product=ferlin-like protein, putative | location=PvP01_01_v2:632062-637515(+) | protein_length=1710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114200.1-p1   -           1710 478at5820            -           1452   4.9e-30  102.6  12.8   2   4   7.4e-05      0.24    7.5   0.3   172   284   206   319   191   334 0.80 | transcript=PVP01_0114200.1 | gene=PVP01_0114200 | organism=Plasmodium_vivax_P01 | gene_product=ferlin-like protein, putative | transcript_product=ferlin-like protein, putative | location=PvP01_01_v2:632062-637515(+) | protein_length=1710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114200.1-p1   -           1710 478at5820            -           1452   4.9e-30  102.6  12.8   3   4    0.0098        32    0.5   0.2   515   605   657   749   592   774 0.65 | transcript=PVP01_0114200.1 | gene=PVP01_0114200 | organism=Plasmodium_vivax_P01 | gene_product=ferlin-like protein, putative | transcript_product=ferlin-like protein, putative | location=PvP01_01_v2:632062-637515(+) | protein_length=1710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114200.1-p1   -           1710 478at5820            -           1452   4.9e-30  102.6  12.8   4   4   6.2e-32     2e-28   97.2   0.3  1118  1446  1387  1708  1334  1710 0.80 | transcript=PVP01_0114200.1 | gene=PVP01_0114200 | organism=Plasmodium_vivax_P01 | gene_product=ferlin-like protein, putative | transcript_product=ferlin-like protein, putative | location=PvP01_01_v2:632062-637515(+) | protein_length=1710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/478at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/478at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/478at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:03 2026
# [ok]
