#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0934900.1-p1   -            424 6759at5820           -            362    9e-216  714.7  19.4   1   1  9.4e-219    1e-215  714.5  19.4     1   362    25   411    25   411 0.97 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 6759at5820           -            362   5.1e-27   93.7   6.4   1   3   1.4e-16   1.5e-13   49.4   0.0   122   209    31   117    16   135 0.83 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 6759at5820           -            362   5.1e-27   93.7   6.4   2   3     0.003       3.2    5.6   1.6     6    86   141   217   138   234 0.84 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 6759at5820           -            362   5.1e-27   93.7   6.4   3   3   1.2e-13   1.3e-10   39.7   0.0   120   226   352   454   317   466 0.80 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234200.1-p1   -            543 6759at5820           -            362   3.8e-15   54.7  15.5   1   2   2.9e-10   3.1e-07   28.6   1.7   110   227    16   132     3   192 0.72 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234200.1-p1   -            543 6759at5820           -            362   3.8e-15   54.7  15.5   2   2   1.6e-11   1.7e-08   32.8   4.2   110   225   391   509   345   542 0.70 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202300.1-p1   -            209 6759at5820           -            362   3.6e-14   51.5   0.7   1   1   4.6e-17     5e-14   51.0   0.7   122   230    24   129    18   138 0.80 | transcript=PVP01_1202300.1 | gene=PVP01_1202300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=PvP01_12_v2:97200-98220(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249700.1-p1   -            104 6759at5820           -            362   2.2e-07   29.1   0.0   1   1   2.1e-10   2.2e-07   29.1   0.0   130   208    10    83     1   102 0.76 | transcript=PVP01_1249700.1 | gene=PVP01_1249700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=PvP01_12_v2:2029499-2029947(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209700.1-p1   -            157 6759at5820           -            362    0.0049   14.8   0.1   1   1   5.1e-06    0.0056   14.6   0.1   135   203    65   131    43   148 0.86 | transcript=PVP01_1209700.1 | gene=PVP01_1209700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=PvP01_12_v2:398246-399338(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6759at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6759at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6759at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:29 2026
# [ok]
