#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0103100.1-p1   -            107 14652at5820          -             79     7e-41  136.9   8.6   1   1   3.6e-43   1.5e-40  135.9   8.6    10    79    38   107    14   107 0.97 | transcript=PVP01_0103100.1 | gene=PVP01_0103100 | organism=Plasmodium_vivax_P01 | gene_product=centrin, putative | transcript_product=centrin, putative | location=PvP01_01_v2:143304-144204(-) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255300.1-p1   -            177 14652at5820          -             79   4.2e-10   38.3   9.2   1   2   9.6e-08   3.9e-05   22.3   0.6    10    76    20    86    14    89 0.87 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255300.1-p1   -            177 14652at5820          -             79   4.2e-10   38.3   9.2   2   2   1.2e-06   0.00051   18.8   2.5    22    73   101   161    87   167 0.68 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207800.1-p1   -            168 14652at5820          -             79   2.6e-09   35.7  13.9   1   2   1.5e-11   6.1e-09   34.5   0.9     9    73    18    86    12    94 0.90 | transcript=PVP01_0207800.1 | gene=PVP01_0207800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=PvP01_02_v2:328638-329949(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207800.1-p1   -            168 14652at5820          -             79   2.6e-09   35.7  13.9   2   2     0.022       8.8    5.2   2.8    13    46   130   164   119   167 0.68 | transcript=PVP01_0207800.1 | gene=PVP01_0207800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=PvP01_02_v2:328638-329949(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 14652at5820          -             79     2e-08   32.9   9.5   1   2   6.2e-07   0.00025   19.7   0.1    10    75     3    72     1    76 0.87 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 14652at5820          -             79     2e-08   32.9   9.5   2   2   6.3e-05     0.026   13.3   5.1    11    73    76   143    69   146 0.76 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 14652at5820          -             79   1.6e-06   26.8  13.8   1   3   2.1e-08   8.6e-06   24.4   2.0     9    73    29    97    26   103 0.88 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 14652at5820          -             79   1.6e-06   26.8  13.8   2   3      0.14        59    2.5   0.1    51    71   112   132   107   139 0.87 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 14652at5820          -             79   1.6e-06   26.8  13.8   3   3     0.006       2.4    7.0   1.1    10    46   142   175   136   177 0.82 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 14652at5820          -             79   3.1e-06   25.9  17.3   1   5   0.00013     0.052   12.3   1.0    16    71    60   119    57   127 0.87 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
