#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5   1  15   5.4e-11   3.5e-07   26.9   0.0     1    50     1    63     1    72 0.77 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5   2  15   6.9e-86   4.5e-82  274.9   7.8    44   238   124   338   111   342 0.85 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5   3  15   2.1e-23   1.4e-19   68.0   0.0   232   293   395   463   391   467 0.86 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5   4  15   5.5e-05      0.36    7.0   0.0   296   328   505   538   499   544 0.86 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5   5  15   5.2e-22   3.4e-18   63.4   0.0   321   393   555   629   546   635 0.88 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5   6  15   2.5e-06     0.016   11.5   0.0   388   409   659   680   652   681 0.91 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5   7  15   1.3e-05     0.085    9.1   0.0   430   450   811   831   803   838 0.86 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5   8  15     4e-16   2.6e-12   43.9   0.0   434   494   852   915   835   920 0.85 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5   9  15   2.6e-33   1.7e-29  100.8   1.6   493   573   943  1030   939  1038 0.89 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5  10  15     1e-17   6.8e-14   49.2   0.0   571   658  1069  1184  1066  1193 0.78 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5  11  15   1.1e-40     7e-37  125.3   7.4   636   734  1219  1319  1194  1326 0.92 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
