#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1006300.1-p1   -            467 11717at5820          -            359  2.8e-217  719.2  81.9   1   3   1.3e-19   3.7e-17   60.8   6.0     1    57     4    70     4    79 0.84 | transcript=PVP01_1006300.1 | gene=PVP01_1006300 | organism=Plasmodium_vivax_P01 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=PvP01_10_v2:279693-281543(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006300.1-p1   -            467 11717at5820          -            359  2.8e-217  719.2  81.9   2   3  3.6e-151    1e-148  493.6  44.9    42   306    80   356    73   380 0.87 | transcript=PVP01_1006300.1 | gene=PVP01_1006300 | organism=Plasmodium_vivax_P01 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=PvP01_10_v2:279693-281543(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006300.1-p1   -            467 11717at5820          -            359  2.8e-217  719.2  81.9   3   3   1.2e-47   3.5e-45  153.0  42.0   254   359   354   456   350   456 0.85 | transcript=PVP01_1006300.1 | gene=PVP01_1006300 | organism=Plasmodium_vivax_P01 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=PvP01_10_v2:279693-281543(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515400.1-p1   -            690 11717at5820          -            359   2.9e-10   38.1  36.6   1   1   5.5e-12   1.6e-09   35.7  36.6   226   316   593   688   527   689 0.72 | transcript=PVP01_0515400.1 | gene=PVP01_0515400 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=PvP01_05_v2:641615-643687(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531900.1-p1   -            297 11717at5820          -            359   4.6e-09   34.2  15.7   1   1   2.2e-11   6.2e-09   33.8  15.7   144   325    60   247    51   254 0.78 | transcript=PVP01_0531900.1 | gene=PVP01_0531900 | organism=Plasmodium_vivax_P01 | gene_product=apical asparagine-rich protein AARP | transcript_product=apical asparagine-rich protein AARP | location=PvP01_05_v2:1343678-1344571(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0421100.1-p1   -            796 11717at5820          -            359   1.3e-08   32.7   3.8   1   1   9.8e-11   2.8e-08   31.6   3.8   215   307   538   632   532   651 0.64 | transcript=PVP01_0421100.1 | gene=PVP01_0421100 | organism=Plasmodium_vivax_P01 | gene_product=condensin-2 complex subunit H2, putative | transcript_product=condensin-2 complex subunit H2, putative | location=PvP01_04_v2:857117-859660(-) | protein_length=796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720200.1-p1   -            616 11717at5820          -            359   3.2e-08   31.4  14.3   1   3   1.1e-10   3.2e-08   31.4  14.3   192   294    89   196    73   219 0.70 | transcript=PVP01_0720200.1 | gene=PVP01_0720200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_07_v2:878869-881193(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720200.1-p1   -            616 11717at5820          -            359   3.2e-08   31.4  14.3   2   3     5e-05     0.014   12.8   7.8   257   308   245   296   221   305 0.82 | transcript=PVP01_0720200.1 | gene=PVP01_0720200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_07_v2:878869-881193(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720200.1-p1   -            616 11717at5820          -            359   3.2e-08   31.4  14.3   3   3       2.5     7e+02   -2.6   2.1   208   236   315   343   311   355 0.78 | transcript=PVP01_0720200.1 | gene=PVP01_0720200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_07_v2:878869-881193(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225000.1-p1   -           2510 11717at5820          -            359   2.2e-06   25.3  13.1   1   2   7.9e-09   2.2e-06   25.3  13.1   250   306   365   427   342   436 0.58 | transcript=PVP01_1225000.1 | gene=PVP01_1225000 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:958473-966491(-) | protein_length=2510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225000.1-p1   -           2510 11717at5820          -            359   2.2e-06   25.3  13.1   2   2       1.4   3.9e+02   -1.8   8.5   255   300  1739  1782  1713  1849 0.60 | transcript=PVP01_1225000.1 | gene=PVP01_1225000 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:958473-966491(-) | protein_length=2510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
