#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1025400.1-p1   -            276 14730at5820          -            238     5e-96  319.4  42.7   1   1   2.7e-98   2.5e-95  317.1  42.7     1   235     1   257     1   275 0.69 | transcript=PVP01_1025400.1 | gene=PVP01_1025400 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_10_v2:1110700-1111530(-) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257100.1-p1   -            357 14730at5820          -            238     0.051   11.7  14.6   1   1   9.4e-05     0.088   10.9  14.6   128   184    50   112     9   130 0.44 | transcript=PVP01_1257100.1 | gene=PVP01_1257100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2346194-2347267(+) | protein_length=357 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919700.1-p1   -            368 14730at5820          -            238     0.075   11.1  19.6   1   1   0.00013      0.12   10.4  19.6   136   218    19   117     3   142 0.32 | transcript=PVP01_0919700.1 | gene=PVP01_0919700 | organism=Plasmodium_vivax_P01 | gene_product=tRNA m(1)G methyltransferase, putative | transcript_product=tRNA m(1)G methyltransferase, putative | location=PvP01_09_v2:860433-862074(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129500.1-p1   -            478 14730at5820          -            238      0.28    9.2   8.7   1   1   0.00071      0.66    8.0   8.7   109   186   349   431   341   460 0.41 | transcript=PVP01_1129500.1 | gene=PVP01_1129500 | organism=Plasmodium_vivax_P01 | gene_product=PIMMS43 protein, putative | transcript_product=PIMMS43 protein, putative | location=PvP01_11_v2:1265254-1266690(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1434600.1-p1   -            404 14730at5820          -            238       2.1    6.4  22.8   1   1    0.0039       3.6    5.6  22.8   131   216   176   259   163   279 0.30 | transcript=PVP01_1434600.1 | gene=PVP01_1434600 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke protein 9, putative | transcript_product=radial spoke protein 9, putative | location=PvP01_14_v2:1471652-1472866(+) | protein_length=404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321100.1-p1   -            883 14730at5820          -            238       5.4    5.1  31.1   1   2    0.0012       1.2    7.2  14.0   121   213   359   464   357   484 0.37 | transcript=PVP01_1321100.1 | gene=PVP01_1321100 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily domain-containing protein, putative | transcript_product=major facilitator superfamily domain-containing protein, putative | location=PvP01_13_v2:952723-955374(-) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321100.1-p1   -            883 14730at5820          -            238       5.4    5.1  31.1   2   2     0.018        17    3.5   9.0   138   235   545   643   522   646 0.42 | transcript=PVP01_1321100.1 | gene=PVP01_1321100 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily domain-containing protein, putative | transcript_product=major facilitator superfamily domain-containing protein, putative | location=PvP01_13_v2:952723-955374(-) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 14730at5820          -            238       8.3    4.4  14.5   1   2   0.00049      0.46    8.6   8.2   128   191    32    92     8   139 0.50 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 14730at5820          -            238       8.3    4.4  14.5   2   2       0.6   5.6e+02   -1.5   0.4    39    60   407   428   402   442 0.74 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14730at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14730at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14730at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:15 2026
# [ok]
