#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0521200.1-p1   -            643 5642at5820           -            463  2.2e-281  932.0  32.6   1   3       3.8   4.9e+03   -5.5   4.9   129   154    39    64    28    72 0.78 | transcript=PVP01_0521200.1 | gene=PVP01_0521200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_05_v2:863369-865300(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521200.1-p1   -            643 5642at5820           -            463  2.2e-281  932.0  32.6   2   3   2.5e-05     0.033   11.5   0.1     1    21   103   123   103   127 0.89 | transcript=PVP01_0521200.1 | gene=PVP01_0521200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_05_v2:863369-865300(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521200.1-p1   -            643 5642at5820           -            463  2.2e-281  932.0  32.6   3   3  4.9e-284  6.4e-281  930.5  28.9    20   463   189   642   182   642 0.97 | transcript=PVP01_0521200.1 | gene=PVP01_0521200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_05_v2:863369-865300(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136200.1-p1   -            818 5642at5820           -            463   1.7e-15   55.4   1.5   1   2       1.2   1.5e+03   -3.8   0.1   230   249    50    70    41    74 0.75 | transcript=PVP01_1136200.1 | gene=PVP01_1136200 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=PvP01_11_v2:1549548-1552004(-) | protein_length=818 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136200.1-p1   -            818 5642at5820           -            463   1.7e-15   55.4   1.5   2   2   1.3e-18   1.7e-15   55.4   1.5   272   411   161   293   104   321 0.86 | transcript=PVP01_1136200.1 | gene=PVP01_1136200 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=PvP01_11_v2:1549548-1552004(-) | protein_length=818 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113000.1-p1   -            367 5642at5820           -            463   1.1e-08   32.9   0.7   1   2   1.6e-11   2.1e-08   32.0   0.0   283   352    63   128    49   169 0.82 | transcript=PVP01_1113000.1 | gene=PVP01_1113000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:563234-566336(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113000.1-p1   -            367 5642at5820           -            463   1.1e-08   32.9   0.7   2   2      0.22   2.8e+02   -1.4   0.2   252   268   265   282   210   334 0.61 | transcript=PVP01_1113000.1 | gene=PVP01_1113000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:563234-566336(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337300.1-p1   -            570 5642at5820           -            463     5e-08   30.7   0.1   1   3   3.8e-11     5e-08   30.7   0.1   272   323   213   264   206   275 0.86 | transcript=PVP01_1337300.1 | gene=PVP01_1337300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=PvP01_13_v2:1604816-1606528(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337300.1-p1   -            570 5642at5820           -            463     5e-08   30.7   0.1   2   3      0.34   4.4e+02   -2.0   4.5   335   412   341   417   329   470 0.47 | transcript=PVP01_1337300.1 | gene=PVP01_1337300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=PvP01_13_v2:1604816-1606528(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337300.1-p1   -            570 5642at5820           -            463     5e-08   30.7   0.1   3   3      0.38     5e+02   -2.2   0.1    26    68   471   521   453   546 0.60 | transcript=PVP01_1337300.1 | gene=PVP01_1337300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=PvP01_13_v2:1604816-1606528(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1009500.1-p1   -            365 5642at5820           -            463   1.1e-06   26.3   0.5   1   2   1.5e-09   1.9e-06   25.5   0.0   283   350    64   127    55   158 0.80 | transcript=PVP01_1009500.1 | gene=PVP01_1009500 | organism=Plasmodium_vivax_P01 | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=PvP01_10_v2:422852-423949(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1009500.1-p1   -            365 5642at5820           -            463   1.1e-06   26.3   0.5   2   2      0.76   9.9e+02   -3.2   0.3   122   153   181   212   177   220 0.66 | transcript=PVP01_1009500.1 | gene=PVP01_1009500 | organism=Plasmodium_vivax_P01 | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=PvP01_10_v2:422852-423949(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5642at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5642at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5642at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:40 2026
# [ok]
