#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0304300.1-p1   -            384 9330at5820           -            298  1.4e-143  476.2  25.1   1   2   1.1e-66     8e-64  214.3   9.9     1   156     1   192     1   197 0.92 | transcript=PVP01_0304300.1 | gene=PVP01_0304300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=PvP01_03_v2:227064-228218(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304300.1-p1   -            384 9330at5820           -            298  1.4e-143  476.2  25.1   2   2     9e-82   6.5e-79  263.8   7.2   147   298   226   382   204   382 0.94 | transcript=PVP01_0304300.1 | gene=PVP01_0304300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=PvP01_03_v2:227064-228218(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9330at5820           -            298   5.7e-75  250.9 104.3   1  18   2.2e-07   0.00016   19.6  11.0    18   278   247   519   241   530 0.72 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9330at5820           -            298   5.7e-75  250.9 104.3   2  18      0.12        90    0.7   1.9    18    66   557   606   545   635 0.62 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9330at5820           -            298   5.7e-75  250.9 104.3   3  18   2.2e-22   1.6e-19   68.8   2.2   154   280   758   897   749   913 0.79 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9330at5820           -            298   5.7e-75  250.9 104.3   4  18       0.5   3.6e+02   -1.3   0.1    32    79   948   997   943  1011 0.74 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9330at5820           -            298   5.7e-75  250.9 104.3   5  18   5.8e-13   4.2e-10   37.9   1.7   159   274  1076  1186  1029  1193 0.87 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9330at5820           -            298   5.7e-75  250.9 104.3   6  18    0.0073       5.3    4.8   0.1    13    60  1339  1392  1329  1410 0.75 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9330at5820           -            298   5.7e-75  250.9 104.3   7  18      0.38   2.8e+02   -0.9   0.0    97   120  1491  1514  1485  1521 0.85 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9330at5820           -            298   5.7e-75  250.9 104.3   8  18     2e-17   1.5e-14   52.5   5.5   153   291  1521  1661  1503  1667 0.86 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9330at5820           -            298   5.7e-75  250.9 104.3   9  18     0.055        40    1.9   0.1    16    58  1672  1717  1664  1766 0.76 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9330at5820           -            298   5.7e-75  250.9 104.3  10  18   1.8e-09   1.3e-06   26.5   0.1   148   237  1800  1888  1787  1919 0.85 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
